Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
6,6,26.40448,27.03728,0.6327999999999996,0.3455866666666664,157
3,3,28.51784,28.94472,0.4268800000000006,0.31066666666666615,55
3,3,33.60288,34.0256,0.4227199999999982,0.30079999999999996,69
3,3,38.62144,39.10904,0.4876000000000005,0.4033599999999993,100
3,3,40.5664,41.02264,0.4562400000000011,0.3122133333333347,55
3,3,42.45376,42.84176,0.3879999999999981,0.2696533333333306,50
3,3,49.80624,50.18216,0.3759200000000007,0.3053600000000003,53
3,3,52.69112,53.16344,0.4723200000000034,0.38776000000000244,55
5,4,77.53888,78.24072,0.70183999999999,0.3080960000000004,114
4,4,79.38544,79.86128,0.47583999999999094,0.282359999999997,51
6,6,83.6388,84.19272,0.5539199999999909,0.2753999999999952,98
4,4,86.28408,86.73272,0.4486399999999975,0.2738399999999963,61
3,3,96.72536,97.24688,0.5215200000000095,0.3894400000000075,54
4,4,117.21536,117.94696,0.7316000000000003,0.46196000000000126,71
4,3,129.10304,129.92472,0.8216800000000148,0.29704000000000264,63
4,4,136.8088,137.36632,0.5575200000000109,0.4345600000000118,90
4,4,153.09704,153.53368,0.43664000000001124,0.27806000000000347,57
4,4,165.92744,166.45464,0.5272000000000219,0.3299599999999998,85
4,4,175.03312,175.70936,0.6762400000000071,0.45406000000000546,122
5,5,188.00168,188.5348,0.5331199999999967,0.3726719999999886,130
4,4,193.82888,194.21184,0.3829599999999971,0.23148000000000477,73
4,4,255.26016,255.7352,0.4750399999999786,0.2663999999999973,73
4,4,263.05096,263.61456,0.5636000000000081,0.4334599999999966,106
3,3,275.1244,275.65976,0.5353600000000256,0.42173333333334995,71
3,3,280.33312,280.9632,0.630079999999964,0.49325333333333293,96
3,3,288.28992,288.86536,0.5754400000000146,0.3786933333333119,52
6,5,294.80592,295.49544,0.689519999999959,0.3913733333333198,93
3,3,299.65136,300.23176,0.5803999999999974,0.47706666666666325,54
4,4,303.28144,303.7352,0.45376000000004524,0.3086400000000111,65
4,4,312.43096,312.93792,0.5069599999999923,0.3627400000000023,101
3,3,317.52168,318.02208,0.5004000000000133,0.37456000000001194,63
4,4,323.044,323.65624,0.6122400000000425,0.36396000000000583,74
3,3,329.71984,330.13928,0.4194400000000087,0.3708000000000121,52
4,4,341.20336,341.77056,0.5672000000000139,0.4016599999999926,109
5,5,345.9088,346.46824,0.559439999999995,0.30339199999998523,80
3,3,354.33208,354.86624,0.5341599999999858,0.4153333333333269,55
3,3,363.28792,363.83104,0.5431199999999876,0.32861333333335097,75
7,6,387.72944,388.43856,0.7091199999999844,0.372651428571422,161
3,3,395.19024,395.6456,0.45535999999998467,0.38434666666665857,65
5,4,399.05472,399.5044,0.44968000000000075,0.2237600000000043,56
3,3,407.21456,407.50288,0.2883199999999988,0.269866666666663,58
4,4,414.55984,415.21664,0.6567999999999756,0.38723999999997716,79
5,5,430.52912,431.0996,0.5704800000000319,0.31905600000001183,101
4,4,435.86784,436.38544,0.5176000000000158,0.34144000000001995,71
6,6,467.10752,467.67256,0.5650399999999536,0.4259733333333031,150
5,5,472.67984,473.26072,0.5808799999999792,0.42846399999999674,122
3,3,476.24768,476.7472,0.49952000000001817,0.334319999999991,61
3,3,479.59304,480.10304,0.5100000000000477,0.3629600000000058,50
4,4,485.28864,485.84528,0.5566400000000158,0.388779999999997,79
3,3,498.514,499.00576,0.4917599999999993,0.38440000000000885,72
4,4,514.98952,515.568,0.5784800000000132,0.39042000000000593,101
4,4,520.73216,521.45408,0.7219199999999546,0.42665999999999826,74
5,5,528.39672,528.93144,0.534719999999993,0.3718399999999974,131
4,4,532.20656,532.77288,0.5663200000000188,0.3704600000000084,81
5,5,538.09528,538.62392,0.5286399999999958,0.26835200000000436,84
4,4,543.7712,544.33944,0.5682399999999461,0.36187999999992826,96
5,5,550.25424,550.68672,0.43248000000005504,0.31627200000000355,100
5,5,570.73544,571.28792,0.5524799999999459,0.39947199999999156,154
5,5,577.16448,577.6708,0.5063199999999597,0.3464480000000094,72
5,5,587.98088,588.5692,0.588320000000067,0.4375520000000051,150
