Electrode,Time (s)
A4_42,4.23024
A4_41,52.24192
A4_42,69.63752
A4_41,144.6084
A4_42,152.36528
A4_42,169.1912
A4_42,173.70928
A4_42,188.59568
A4_41,200.2344
A4_42,205.21032
A4_41,205.24232
A4_42,205.30488
A4_42,205.3712
A4_42,205.3844
A4_42,205.39616
A4_41,205.42432
A4_42,205.4272
A4_42,205.43296
A4_41,205.4332
A4_41,205.43936
A4_42,205.44872
A4_42,205.45984
A4_42,205.48784
A4_42,205.51912
A4_42,205.54024
A4_42,205.57776
A4_42,205.58672
A4_42,205.5896
A4_42,205.6036
A4_42,205.60608
A4_41,205.60984
A4_42,205.61376
A4_42,205.6176
A4_42,205.6236
A4_41,205.63688
A4_42,205.64112
A4_42,205.6608
A4_42,205.66656
A4_42,205.67368
A4_41,205.6788
A4_42,205.6808
A4_42,205.68384
A4_41,205.68536
A4_42,205.69352
A4_42,205.69888
A4_41,205.70336
A4_42,205.70392
A4_41,205.708
A4_42,205.708
A4_42,205.71288
A4_41,205.71656
A4_42,205.7184
A4_42,205.722
A4_41,205.7292
A4_42,205.74256
A4_42,205.7476
A4_42,205.75912
A4_41,205.76528
A4_41,205.768
A4_42,205.77272
A4_41,205.7788
A4_42,205.78136
A4_42,205.78664
A4_42,205.7896
A4_41,205.79472
A4_41,205.81072
A4_41,205.81376
A4_42,205.81504
A4_41,205.82024
A4_41,205.82856
A4_42,205.83144
A4_42,205.8356
A4_42,205.84384
A4_42,205.84672
A4_42,205.8524
A4_42,205.85552
A4_42,205.85792
A4_42,205.86104
A4_41,205.86248
A4_42,205.86904
A4_42,205.87336
A4_42,205.87656
A4_42,205.88112
A4_42,205.8836
A4_42,205.89088
A4_42,205.89376
A4_41,205.89432
A4_42,205.89784
A4_42,205.9032
A4_41,205.90616
A4_41,205.91272
A4_42,205.9172
A4_42,205.91968
A4_42,205.92448
A4_42,205.93168
A4_41,205.93536
A4_42,205.94104
A4_42,205.94664
A4_41,205.9472
A4_42,205.95048
A4_41,205.95664
A4_41,205.97232
A4_42,205.9732
A4_42,205.97544
A4_42,205.98936
A4_41,205.99456
A4_42,205.99504
A4_42,206.00352
A4_42,206.01696
A4_41,206.0224
A4_42,206.03048
A4_42,206.05744
A4_41,206.06704
A4_42,206.08568
A4_42,206.09056
A4_41,206.09848
A4_43,206.1116
A4_42,206.1248
A4_42,206.14608
A4_42,206.16296
A4_41,206.18664
A4_41,206.19064
A4_42,206.20448
A4_42,206.21096
A4_41,206.27928
A4_42,206.30328
A4_42,206.31064
A4_42,206.3264
A4_42,206.38168
A4_42,206.41192
A4_42,206.41592
A4_42,218.77248
A4_42,218.8576
A4_41,218.9712
A4_42,219.0292
A4_42,219.08992
A4_41,219.1016
A4_42,219.11608
A4_42,219.14528
A4_42,219.14848
A4_42,219.15072
A4_41,219.16664
A4_42,219.1772
A4_42,219.21312
A4_41,219.21552
A4_42,219.2216
A4_42,219.22864
A4_41,219.24232
A4_42,219.28112
A4_41,219.28192
A4_42,219.28856
A4_42,219.29376
A4_42,219.31032
A4_42,219.31472
A4_42,219.33136
A4_41,219.36184
A4_42,219.36736
A4_42,219.37416
A4_42,219.37904
A4_41,219.38664
A4_41,219.38976
A4_42,219.41056
A4_41,219.412
A4_42,219.4324
A4_42,219.4356
A4_42,219.44048
A4_41,219.44088
A4_42,219.44824
A4_42,219.4548
A4_41,219.45808
A4_42,219.4708
A4_42,219.47936
A4_42,219.48824
A4_42,219.57408
A4_42,219.5792
A4_41,219.5956
A4_41,219.676
A4_42,219.71648
A4_42,219.7208
A4_42,219.77272
A4_42,219.8092
A4_42,232.6112
A4_42,232.63216
A4_41,232.71488
A4_42,232.744
A4_42,232.74856
A4_41,232.78592
A4_41,232.79928
A4_42,232.90792
A4_42,244.33344
A4_42,244.46672
A4_41,256.87624
A4_42,258.76216
A4_41,266.81448
A4_41,269.01736
A4_41,269.62824
A4_42,293.17064
A4_41,307.0312
A4_41,323.38432
A4_42,347.09168
A4_42,355.62248
A4_41,355.65328
A4_41,393.09296
A4_42,411.4968
A4_41,436.52384
A4_42,443.29832
A4_42,498.566
A4_42,498.60984
A4_42,498.61432
A4_41,529.41672
A4_41,529.51128
A4_42,553.21272
A4_42,554.48
A4_42,554.73488
A4_41,564.5236
A4_42,573.87384
A4_42,589.32808
