Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
B2_34,10,142.97352,143.03656,0.06304000000000087
B2_34,10,191.92656,191.99608,0.06952000000001135
B2_34,10,200.4848,200.5284,0.04359999999999786
B2_34,12,256.25184,256.34912,0.09728000000001202
B2_34,9,295.50336,295.59688,0.09352000000001226
B2_34,14,342.344,342.51264,0.16863999999998214
B2_34,11,383.57424,383.6672,0.09296000000000504
B2_34,13,406.64448,406.72424,0.07976000000002159
B2_34,17,482.12544,482.216,0.09055999999998221
B2_34,12,492.50048,492.66744,0.16696000000001732
B2_34,10,503.8476,503.90312,0.055520000000001346
B2_34,16,555.05016,555.12984,0.07967999999993935
B2_42,7,256.26344,256.3536,0.09015999999996893
B2_42,5,295.5076,295.62544,0.11784000000000106
B2_42,6,383.58832,383.64944,0.061120000000016717
B2_42,5,406.64792,406.68048,0.032559999999989486
B2_42,7,482.16472,482.2228,0.05808000000001812
B2_42,8,492.50104,492.61968,0.11864000000002761
B2_42,8,503.86536,503.94288,0.0775199999999927
B2_43,6,191.9368,191.98728,0.0504799999999932
B2_43,5,256.27496,256.32616,0.05119999999999436
B2_43,7,295.5064,295.61024,0.10383999999999105
B2_43,10,342.38856,342.60008,0.21152000000000726
B2_43,10,383.57384,383.65696,0.08312000000000808
B2_43,6,406.64712,406.80648,0.15936000000004924
B2_43,8,482.14768,482.23768,0.09000000000003183
B2_43,9,503.84744,503.90328,0.05583999999998923
B2_44,13,65.2116,65.3764,0.1647999999999996
B2_44,14,142.96672,143.03144,0.06471999999999412
B2_44,14,191.92592,191.98712,0.06120000000001369
B2_44,12,200.45896,200.54912,0.09015999999999735
B2_44,20,256.13736,256.43288,0.29552000000001044
B2_44,16,295.47792,295.54712,0.06920000000002346
B2_44,16,342.35296,342.4852,0.13224000000002434
B2_44,17,383.49624,383.63648,0.1402400000000057
B2_44,16,406.64416,406.75696,0.1127999999999929
B2_44,20,482.1056,482.25808,0.15248000000002548
B2_44,10,492.4972,492.56648,0.06927999999999201
B2_44,15,503.806,504.01464,0.2086400000000026
B2_44,14,555.03784,555.1012,0.06335999999998876
