Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
12,12,13.52056,13.73472,0.21415999999999968,0.12131333333333327,190
13,13,55.79296,56.06416,0.27120000000000033,0.19257846153846217,321
4,4,174.76552,175.17264,0.40711999999999193,0.3588999999999984,117
7,8,174.86032,175.23544,0.37512000000000967,0.20002999999999457,145
13,13,187.90776,188.2704,0.36263999999999896,0.22353230769231056,378
12,13,195.84176,196.20464,0.3628800000000183,0.18708307692307574,270
11,13,214.482,214.88008,0.3980799999999931,0.17990153846153803,320
10,10,222.05312,222.22832,0.1751999999999896,0.08683199999999826,156
12,12,226.43904,226.7288,0.28976000000000113,0.15751333333333167,215
13,13,264.36568,264.87976,0.5140799999999786,0.2116492307692178,422
13,13,300.26824,300.70472,0.4364800000000173,0.22947692307692388,385
11,11,315.01072,315.41552,0.4048000000000229,0.19734545454545319,224
13,13,341.36112,341.75896,0.39783999999997377,0.2030584615384721,294
13,13,424.13208,424.5692,0.4371200000000499,0.22755076923077955,500
13,13,448.98576,449.45208,0.46631999999999607,0.23836307692308237,450
11,12,470.33208,470.75008,0.41800000000000637,0.1899866666666696,314
12,12,490.06296,490.31288,0.24992000000003145,0.1336733333333389,257
13,13,523.7164,524.09824,0.38184000000001106,0.17485538461537192,305
