Electrode,Time (s)
B6_31,0.65288
B6_31,3.4612
B6_22,5.5972
B6_22,5.6352
B6_22,5.70216
B6_22,5.74176
B6_22,5.84576
B6_22,6.0624
B6_23,6.21344
B6_23,6.25864
B6_23,6.328
B6_31,7.16664
B6_31,8.278
B6_31,12.85568
B6_23,13.172
B6_23,13.2068
B6_32,16.79456
B6_31,17.04056
B6_22,17.12704
B6_22,17.1516
B6_22,17.178
B6_22,17.20488
B6_22,17.24
B6_22,17.27472
B6_22,17.30208
B6_22,17.33088
B6_22,17.36064
B6_22,17.38704
B6_22,17.4212
B6_22,17.50968
B6_22,17.54472
B6_22,17.5804
B6_22,17.67696
B6_22,17.76744
B6_22,18.24728
B6_32,18.30896
B6_22,18.90944
B6_22,19.0368
B6_31,19.16352
B6_22,19.17416
B6_42,21.65096
B6_23,23.43872
B6_23,23.53544
B6_23,23.70384
B6_23,23.8592
B6_42,24.54008
B6_31,27.19272
B6_31,28.34944
B6_23,32.028
B6_23,32.09112
B6_23,32.27528
B6_32,33.6724
B6_32,33.7068
B6_32,33.79352
B6_22,34.30352
B6_22,34.35304
B6_22,34.38088
B6_22,34.41408
B6_22,34.45016
B6_22,34.5016
B6_22,34.58392
B6_22,34.62576
B6_22,34.69144
B6_22,34.73768
B6_22,34.90272
B6_22,34.95528
B6_22,34.99664
B6_22,35.11872
B6_22,35.44528
B6_22,35.51544
B6_22,35.60224
B6_22,35.72192
B6_22,35.89984
B6_31,40.61496
B6_23,43.46104
B6_23,43.76976
B6_23,43.80872
B6_23,44.07024
B6_23,44.18896
B6_31,45.57808
B6_22,49.51816
B6_22,49.54488
B6_22,49.57392
B6_22,49.64776
B6_22,49.7312
B6_22,49.76808
B6_23,53.15688
B6_23,53.2684
B6_23,53.31504
B6_32,54.08744
B6_22,54.36968
B6_22,54.39848
B6_22,54.42384
B6_22,54.45064
B6_22,54.53424
B6_22,54.63184
B6_44,56.89528
B6_23,60.88632
B6_32,64.92464
B6_22,67.8164
B6_22,67.83808
B6_22,67.85944
B6_22,67.88128
B6_22,67.90312
B6_22,67.92728
B6_22,67.97896
B6_22,68.0048
B6_22,68.09248
B6_22,68.22888
B6_22,68.26696
B6_22,68.37008
B6_22,68.4036
B6_23,68.47624
B6_23,68.50808
B6_22,68.66064
B6_22,68.96864
B6_22,69.0408
B6_22,69.14832
B6_22,69.23896
B6_42,73.33872
B6_42,73.87928
B6_31,75.25752
B6_23,76.72184
B6_23,77.02528
B6_42,77.60632
B6_31,80.0724
B6_32,82.23536
B6_22,83.55144
B6_22,83.60056
B6_22,83.63568
B6_22,83.66944
B6_22,83.76952
B6_22,83.81368
B6_22,84.64488
B6_22,84.67736
B6_22,84.72472
B6_22,84.77592
B6_22,84.8192
B6_22,84.87632
B6_22,85.14496
B6_22,85.21488
B6_22,85.28424
B6_22,85.38784
B6_23,86.30744
B6_23,86.34336
B6_23,86.39112
B6_31,88.0708
B6_23,91.12928
B6_23,91.16424
B6_23,91.51192
B6_31,92.87392
B6_22,96.23464
B6_32,96.85584
B6_23,97.374
B6_23,97.42384
B6_23,97.6256
B6_23,98.01056
B6_42,99.99928
B6_22,101.8364
B6_22,101.90584
B6_22,101.94496
B6_22,102.08744
B6_22,102.2232
B6_22,102.26648
B6_22,102.30488
B6_22,102.35
B6_22,102.58704
B6_22,102.86096
B6_22,102.98528
B6_22,103.0424
B6_22,103.128
B6_22,103.17808
B6_22,103.3752
B6_22,103.42296
B6_22,103.56488
B6_22,103.66512
B6_23,106.4656
B6_23,106.51208
B6_23,106.81136
B6_32,109.03624
B6_14,110.91632
B6_31,111.12808
B6_22,112.17352
B6_22,112.222
B6_22,112.25024
B6_22,112.28184
B6_22,112.3124
B6_22,112.36136
B6_22,112.3964
B6_22,112.432
B6_23,112.46008
B6_22,112.55552
B6_23,112.73208
B6_22,114.16072
B6_22,114.33952
B6_22,114.378
B6_22,114.45664
B6_23,119.91984
B6_23,120.26864
B6_23,120.77824
B6_22,122.26416
B6_22,122.2916
B6_22,122.32264
B6_22,122.35904
B6_22,122.40072
B6_22,122.44368
B6_22,122.58144
B6_22,122.70776
B6_22,122.81664
B6_31,122.93416
B6_32,124.80336
B6_23,128.8872
B6_23,128.92096
B6_23,129.44552
B6_23,137.63128
B6_22,137.70912
B6_22,137.76928
B6_23,137.79736
B6_22,137.81696
B6_22,137.8548
B6_23,137.87584
B6_22,137.89152
B6_31,140.09568
B6_22,140.54872
B6_22,140.59544
B6_22,140.62024
B6_22,140.65424
B6_22,140.68536
B6_22,140.75472
B6_22,140.78624
