Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
C2_11,35,108.40224,108.77048,0.3682400000000001
C2_11,29,166.23944,166.48808,0.24863999999999464
C2_11,6,189.98936,190.14328,0.1539199999999994
C2_11,35,270.26152,270.7044,0.4428800000000024
C2_11,21,287.72008,288.04784,0.32776000000001204
C2_11,28,317.27136,317.71224,0.44087999999999283
C2_11,35,377.89328,378.31352,0.4202399999999784
C2_11,31,392.48768,392.97704,0.4893599999999765
C2_11,28,436.26544,436.69192,0.42647999999996955
C2_11,5,450.65488,450.70064,0.04576000000002978
C2_11,31,486.30392,486.5096,0.20567999999997255
C2_11,28,534.13256,534.33392,0.2013600000000224
C2_11,7,573.33176,573.42512,0.09335999999996147
C2_11,6,573.54968,573.72728,0.177599999999984
C2_11,12,586.68456,586.96048,0.2759199999999282
C2_12,6,52.17224,52.28464,0.11240000000000094
C2_12,53,108.45736,108.80048,0.343119999999999
C2_12,49,166.22128,166.6348,0.41352000000000544
C2_12,47,270.18368,270.69296,0.5092800000000466
C2_12,35,287.53048,288.0484,0.5179200000000037
C2_12,52,317.31912,317.95824,0.6391199999999913
C2_12,49,377.78792,378.42136,0.6334400000000073
C2_12,48,392.40352,392.9776,0.5740799999999808
C2_12,44,436.16408,436.68808,0.5240000000000009
C2_12,5,460.36256,460.50336,0.14080000000001291
C2_12,41,486.25968,486.53544,0.2757599999999911
C2_12,42,534.11736,534.4904,0.37304000000006
C2_12,7,561.57064,561.8584,0.28775999999993473
C2_12,5,573.32184,573.43008,0.10824000000002343
C2_12,16,573.53104,573.80704,0.2760000000000673
C2_12,17,586.6768,587.14032,0.4635200000000168
C2_13,8,46.1944,46.34304,0.14864000000000033
C2_13,5,46.62232,46.82176,0.19943999999999562
C2_13,72,108.36544,108.81328,0.44783999999999935
C2_13,5,108.93224,109.1212,0.18896000000000868
C2_13,69,166.19512,166.63448,0.43935999999999353
C2_13,11,176.20064,176.56872,0.3680800000000204
C2_13,5,190.08344,190.1764,0.09296000000000504
C2_13,15,203.79976,204.19192,0.39216000000001827
C2_13,68,270.14624,270.75696,0.6107200000000148
C2_13,60,287.46088,288.08568,0.6248000000000502
C2_13,6,305.8744,306.04248,0.16808000000003176
C2_13,63,317.29536,317.84656,0.5511999999999944
C2_13,10,330.01968,330.1712,0.15152000000000498
C2_13,60,377.76096,378.26616,0.5052000000000021
C2_13,71,392.48512,393.15656,0.6714400000000182
C2_13,9,408.20008,408.44152,0.24144000000001142
C2_13,49,436.22208,436.74904,0.5269599999999741
C2_13,14,450.11248,450.26496,0.15247999999996864
C2_13,25,450.36832,450.86072,0.4924000000000319
C2_13,15,460.4228,460.6544,0.23160000000001446
C2_13,45,486.28984,486.59744,0.30759999999997945
C2_13,7,498.85656,499.01312,0.15656000000001313
C2_13,52,534.1176,534.54928,0.4316799999999148
C2_13,6,544.97536,545.2088,0.23343999999997322
C2_13,5,549.93512,550.00472,0.06960000000003674
C2_13,11,561.6552,561.91872,0.26351999999997133
C2_13,39,573.32232,573.76544,0.4431200000000217
C2_13,35,586.68896,587.12248,0.4335200000000441
C2_21,9,46.194,46.28896,0.09496000000000038
C2_21,75,108.3116,108.9324,0.6208000000000027
C2_21,78,166.19816,166.7156,0.5174399999999935
C2_21,9,176.372,176.5944,0.22239999999999327
C2_21,10,189.90176,190.24904,0.347280000000012
C2_21,10,203.8596,204.12928,0.2696799999999939
C2_21,84,270.1924,270.72744,0.5350399999999809
C2_21,63,287.4016,288.05608,0.654480000000035
C2_21,10,305.81048,306.02064,0.21016000000003032
C2_21,11,316.26296,316.30736,0.044399999999996
C2_21,74,317.304,317.8616,0.5576000000000363
C2_21,10,330.0604,330.1628,0.10239999999998872
C2_21,7,349.41464,349.64944,0.234800000000007
C2_21,74,377.82904,378.49712,0.6680799999999749
C2_21,72,392.4532,392.95712,0.5039199999999937
C2_21,15,408.21256,408.46136,0.248800000000017
C2_21,5,419.11344,419.20112,0.08767999999997755
C2_21,67,436.25784,436.7552,0.4973600000000147
C2_21,11,450.11128,450.25592,0.14463999999998123
C2_21,6,450.3904,450.54704,0.15663999999998168
C2_21,8,450.68032,450.89888,0.21856000000002496
C2_21,9,460.39256,460.53552,0.1429600000000164
C2_21,57,486.27888,486.73088,0.4519999999999982
C2_21,8,498.90008,499.10552,0.20544000000001006
C2_21,56,534.09056,534.4572,0.3666399999999612
C2_21,5,545.09544,545.15432,0.05887999999993099
C2_21,5,549.94528,550.00528,0.05999999999994543
C2_21,15,561.64048,561.77128,0.130800000000022
C2_21,47,573.28496,573.84224,0.5572799999999916
C2_21,39,586.62432,587.2884,0.6640800000000127
C2_22,42,108.5016,108.87576,0.3741600000000034
C2_22,38,166.18848,166.6268,0.4383200000000045
C2_22,38,270.238,270.85488,0.6168799999999806
C2_22,41,287.41344,288.0004,0.5869600000000332
C2_22,37,317.44528,317.9588,0.5135199999999713
C2_22,40,377.90672,378.27184,0.36511999999999034
C2_22,25,392.70368,393.00232,0.2986399999999776
C2_22,33,436.27584,436.56336,0.28751999999997224
C2_22,6,460.39928,460.49936,0.10008000000004813
C2_22,31,486.29496,486.58536,0.2903999999999769
C2_22,34,534.15632,534.4696,0.31327999999996337
C2_22,19,573.24952,573.68328,0.4337600000000066
C2_22,20,586.68152,587.18512,0.5036000000000058
C2_23,52,108.3688,108.95488,0.5860800000000097
C2_23,45,166.18784,166.5976,0.4097600000000057
C2_23,44,270.30832,270.72096,0.41264000000001033
C2_23,34,287.58776,288.07344,0.4856800000000021
C2_23,32,317.45856,317.6988,0.24024000000002843
C2_23,45,377.8876,378.31896,0.43135999999998376
C2_23,39,392.47944,392.9408,0.4613600000000133
C2_23,45,436.1648,436.73616,0.5713599999999701
C2_23,34,486.29432,486.57264,0.27831999999995105
C2_23,42,534.10272,534.37288,0.2701600000000326
C2_23,21,573.31064,573.79872,0.4880799999999681
C2_23,18,586.62696,587.12312,0.496159999999918
C2_31,52,108.39632,108.89664,0.5003200000000021
C2_31,46,166.2388,166.58112,0.34232000000000085
C2_31,50,270.24928,270.78944,0.5401600000000144
C2_31,5,287.54448,287.6456,0.10111999999998034
C2_31,40,287.79688,288.19128,0.39440000000001874
C2_31,50,317.2708,317.91712,0.6463200000000029
C2_31,38,377.89568,378.1784,0.28271999999998343
C2_31,52,392.4892,392.95744,0.46824000000003707
C2_31,37,436.27704,436.5896,0.31256000000001904
C2_31,15,450.11144,450.75928,0.6478399999999738
C2_31,39,486.31048,486.64624,0.3357599999999934
C2_31,42,534.12888,534.42608,0.29719999999997526
C2_31,33,573.33648,573.85648,0.5199999999999818
C2_31,17,586.70768,587.15448,0.44680000000005293
C2_32,5,46.21752,46.41168,0.19415999999999656
C2_32,5,57.1512,57.34616,0.1949599999999947
C2_32,42,108.39416,108.89984,0.5056799999999981
C2_32,6,159.26344,159.52896,0.2655200000000093
C2_32,30,166.10856,166.60864,0.500079999999997
C2_32,18,176.13488,176.91752,0.7826399999999865
C2_32,5,180.1556,180.2976,0.1419999999999959
C2_32,7,189.96864,190.25736,0.2887200000000121
C2_32,13,203.86496,204.31064,0.44568000000001007
C2_32,7,214.73976,214.97536,0.23560000000000514
C2_32,7,225.59264,225.85248,0.2598400000000254
C2_32,5,231.50672,231.75016,0.24343999999999255
C2_32,7,241.26128,241.52984,0.2685600000000079
C2_32,5,254.95088,255.22392,0.2730399999999804
C2_32,36,270.09984,270.73808,0.638240000000053
