Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
9,9,88.7952,89.63592,0.8407200000000046,0.5170133333333367,360
9,9,93.27776,93.79064,0.5128799999999956,0.27770666666666616,173
9,9,97.79296,98.23216,0.4391999999999996,0.26786666666666603,226
9,9,103.34968,103.96016,0.6104799999999955,0.301315555555555,256
9,9,109.40672,109.96968,0.5629599999999897,0.3433688888888895,257
9,9,159.6856,160.69576,1.0101600000000133,0.59347555555556,362
9,9,169.96664,170.62216,0.6555199999999957,0.40136000000000155,276
7,7,188.61432,189.24344,0.6291200000000003,0.4007885714285716,177
9,9,207.55536,208.644,1.088639999999998,0.4701599999999991,249
8,8,238.26032,239.02896,0.7686400000000049,0.4010999999999995,193
9,9,249.2148,249.8028,0.5879999999999939,0.45492444444444874,245
9,9,293.38392,294.04656,0.6626400000000103,0.35496000000000544,182
8,8,315.23064,315.87,0.6393600000000106,0.41800000000000637,172
8,8,351.39624,351.98592,0.589680000000044,0.3592100000000044,142
6,6,373.01264,373.53048,0.5178400000000352,0.3087600000000066,86
7,7,395.34408,395.99768,0.6535999999999831,0.31596571428570996,117
8,8,448.03816,448.6328,0.5946399999999699,0.3024500000000074,132
