Electrode,Time (s)
C4_32,1.91824
C4_44,2.49936
C4_32,2.65504
C4_43,3.23368
C4_13,5.00504
C4_13,5.11208
C4_44,7.4268
C4_13,9.20888
C4_13,9.38112
C4_44,9.47696
C4_43,10.53432
C4_44,10.64512
C4_13,11.37216
C4_44,11.39512
C4_44,13.08656
C4_13,13.57368
C4_43,13.91592
C4_44,14.6076
C4_13,15.12832
C4_44,15.2416
C4_13,15.4208
C4_13,15.5844
C4_13,15.70304
C4_13,15.99336
C4_13,16.16224
C4_13,16.23792
C4_32,16.24616
C4_13,16.38064
C4_13,16.464
C4_44,18.63256
C4_13,21.62256
C4_12,22.35624
C4_32,26.74864
C4_13,27.20832
C4_44,27.6536
C4_13,27.66464
C4_13,27.89448
C4_32,28.67768
C4_44,29.11904
C4_43,29.65088
C4_43,30.3204
C4_44,30.3424
C4_44,31.27568
C4_34,31.86128
C4_13,32.21016
C4_13,32.69488
C4_13,32.98568
C4_22,33.30152
C4_13,33.63504
C4_13,34.0196
C4_44,34.06168
C4_13,34.1428
C4_13,34.33656
C4_13,34.54064
C4_13,34.68736
C4_13,34.80944
C4_13,35.06528
C4_13,35.128
C4_13,35.17824
C4_44,35.3564
C4_13,35.48208
C4_34,36.40792
C4_44,36.67936
C4_34,36.6928
C4_32,37.74936
C4_34,37.782
C4_13,38.94256
C4_13,39.2892
C4_32,39.94272
C4_43,40.64328
C4_13,41.732
C4_13,42.07096
C4_44,42.11056
C4_13,42.50688
C4_13,42.59648
C4_13,42.66968
C4_13,42.896
C4_13,43.1336
C4_13,43.23216
C4_44,43.55728
C4_13,43.576
C4_34,44.61032
C4_34,44.85736
C4_34,45.20952
C4_34,45.4192
C4_34,45.52656
C4_44,47.12256
C4_32,47.98224
C4_44,50.63216
C4_12,51.24136
C4_43,51.59328
C4_44,52.09744
C4_13,52.59088
C4_34,52.84544
C4_13,53.1632
C4_13,53.29608
C4_43,53.6664
C4_13,53.77136
C4_13,54.01968
C4_32,54.12208
C4_13,54.15304
C4_13,54.31048
C4_13,54.45072
C4_13,54.85264
C4_32,55.77904
C4_13,55.92416
C4_32,56.74896
C4_32,58.4652
C4_32,58.53368
C4_44,58.91752
C4_32,60.09976
C4_32,61.758
C4_32,61.81616
C4_13,62.37976
C4_13,62.59224
C4_32,62.98528
C4_13,63.43304
C4_13,63.6236
C4_32,64.6392
C4_43,65.13744
C4_43,65.44536
C4_43,65.54992
C4_43,65.99464
C4_32,66.4504
C4_32,66.91128
C4_32,67.77168
C4_13,68.1392
C4_13,68.32304
C4_13,68.62152
C4_32,68.68728
C4_32,68.7308
C4_34,69.09256
C4_44,69.10608
C4_32,69.45656
C4_13,69.48088
C4_13,69.5428
C4_32,69.648
C4_13,69.7308
C4_13,69.78672
C4_13,69.85192
C4_13,69.906
C4_13,70.07424
C4_13,70.13136
C4_13,70.19344
C4_13,70.42184
C4_43,70.54864
C4_13,70.5488
C4_32,70.7756
C4_32,70.83864
C4_32,72.2004
C4_32,72.29696
C4_32,72.5988
C4_32,72.75744
C4_34,73.71416
C4_32,73.74816
C4_32,74.28352
C4_32,74.95496
C4_43,74.99304
C4_12,75.31792
C4_43,75.89544
C4_32,75.92608
