Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
14,15,44.59592,45.79984,1.2039200000000037,0.631413333333334,832
17,15,106.2348,107.2524,1.0175999999999874,0.5628,951
15,16,183.90224,185.2428,1.3405599999999822,0.6770199999999953,987
16,16,229.4468,230.8392,1.3924000000000092,0.6364450000000001,964
15,15,269.78336,271.22128,1.4379199999999628,0.7400160000000028,895
15,15,313.22152,314.37008,1.148559999999975,0.5948586666666529,889
16,16,354.6416,355.98632,1.3447199999999953,0.6256600000000034,922
15,15,416.85032,418.02744,1.1771200000000022,0.6828959999999976,950
15,15,462.71576,464.1088,1.393039999999985,0.6975679999999935,949
16,16,526.74096,528.14288,1.4019200000000183,0.6698750000000189,978
14,14,572.42504,574.01616,1.5911200000000463,0.6514742857142762,872
