Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
D4_21,104,178.03272,178.77504,0.7423199999999781
D4_21,90,278.56864,279.35944,0.7907999999999902
D4_21,83,333.16832,333.808,0.6396799999999985
D4_21,7,333.92808,334.17432,0.24624000000000024
D4_21,113,409.03256,410.01696,0.9843999999999937
D4_21,116,535.23704,536.17944,0.9424000000000206
D4_22,48,178.14896,178.6928,0.5438400000000172
D4_22,58,278.57152,279.2524,0.6808800000000019
D4_22,57,333.20104,333.84336,0.6423200000000406
D4_22,69,409.0056,409.73024,0.7246399999999653
D4_22,90,535.26928,536.07424,0.804960000000051
D4_23,5,535.2948,535.394,0.09919999999999618
D4_31,147,178.07528,179.2596,1.1843200000000138
D4_31,9,180.40152,180.50592,0.10439999999999827
D4_31,131,278.55472,279.45392,0.8992000000000075
D4_31,151,333.21664,334.25896,1.042320000000018
D4_31,141,409.01216,409.95136,0.939200000000028
D4_32,154,178.124,179.18648,1.0624799999999937
D4_32,5,179.75896,180.05064,0.2916799999999853
D4_32,17,180.17792,180.5052,0.3272800000000018
D4_32,151,278.55232,279.93792,1.3856000000000108
D4_32,6,280.53088,280.866,0.3351199999999608
D4_32,144,333.1956,334.25968,1.06407999999999
D4_32,5,334.35976,334.49472,0.1349599999999782
D4_32,138,409.00712,410.18528,1.1781599999999912
D4_32,6,410.29448,410.46432,0.16983999999996513
D4_32,161,535.23848,536.14104,0.902559999999994
D4_32,5,536.25136,536.35176,0.10040000000003602
D4_33,158,178.11416,179.03504,0.920880000000011
D4_33,6,179.158,179.39216,0.2341600000000028
D4_33,12,180.18384,180.44952,0.26568000000000325
D4_33,5,180.59528,180.86704,0.27176000000000045
D4_33,161,278.5136,279.78384,1.2702400000000011
D4_33,143,333.17056,334.25952,1.088959999999986
D4_33,142,408.958,409.95032,0.9923199999999497
D4_33,5,410.05752,410.18768,0.1301599999999894
D4_33,174,535.1928,536.50592,1.3131199999999126
D4_41,63,178.08816,178.8108,0.7226400000000126
D4_41,7,178.91408,179.15928,0.24519999999998277
D4_41,5,180.3852,180.44584,0.060640000000006467
D4_41,52,278.55576,279.26096,0.7051999999999907
D4_41,60,333.1472,333.818,0.6707999999999856
D4_41,6,333.93664,334.17136,0.2347199999999816
D4_41,61,409.0356,409.7088,0.6732000000000085
D4_41,61,535.20432,536.15608,0.951759999999922
D4_42,207,178.10592,179.75768,1.651759999999996
D4_42,8,179.88744,180.20072,0.3132799999999918
D4_42,24,180.34448,180.52952,0.18503999999998655
D4_42,193,278.5424,280.40136,1.8589600000000246
D4_42,171,333.22072,334.27728,1.0565600000000472
D4_42,178,408.9912,410.31736,1.3261600000000158
D4_42,181,535.25072,536.46616,1.2154399999999441
D4_42,6,536.78792,536.90864,0.12072000000000571
D4_43,172,178.07856,179.086,1.0074400000000026
D4_43,14,180.30544,180.50112,0.19567999999998165
D4_43,173,278.49104,279.6156,1.124559999999974
D4_43,153,333.1832,334.06384,0.8806400000000281
D4_43,5,334.16648,334.23568,0.06920000000002346
D4_43,176,409.0408,410.23856,1.1977600000000166
D4_43,170,535.22064,536.28392,1.0632799999999634
D4_44,83,178.10224,178.7344,0.632159999999999
D4_44,8,178.84832,179.09688,0.24855999999999767
D4_44,70,278.5416,279.31656,0.7749599999999646
D4_44,68,333.1688,333.7904,0.6216000000000008
D4_44,7,333.95688,334.17704,0.22015999999996438
D4_44,69,409.09488,409.69896,0.6040800000000104
D4_44,73,535.18712,536.03728,0.8501599999999598
