Electrode,Time (s)
D6_31,0.1316
D6_43,0.15832
D6_43,0.84248
D6_43,1.90136
D6_43,3.37528
D6_43,4.1304
D6_43,4.52704
D6_11,5.31888
D6_43,5.42824
D6_43,6.36728
D6_43,7.03584
D6_43,7.8148
D6_43,8.1944
D6_43,8.626
D6_43,9.23928
D6_43,9.57248
D6_43,10.0696
D6_43,10.64664
D6_43,11.28224
D6_43,11.70576
D6_43,12.14608
D6_43,12.844
D6_43,13.33072
D6_43,13.80008
D6_43,14.31232
D6_43,14.87096
D6_43,15.45688
D6_43,16.06056
D6_43,16.62088
D6_43,17.1456
D6_43,17.62768
D6_43,18.19456
D6_43,18.78992
D6_31,19.23144
D6_43,20.06568
D6_43,20.5316
D6_43,20.90064
D6_43,21.64096
D6_43,22.26104
D6_43,22.73888
D6_43,23.38872
D6_43,24.12032
D6_43,24.48896
D6_43,25.79528
D6_43,26.34136
D6_43,26.99496
D6_43,28.07896
D6_43,28.56752
D6_43,29.45792
D6_43,30.25304
D6_43,30.99816
D6_43,31.38816
D6_43,32.47264
D6_43,33.15112
D6_43,33.71168
D6_43,34.43128
D6_43,36.46248
D6_43,37.16832
D6_43,37.91192
D6_43,38.54784
D6_43,38.93496
D6_43,39.84224
D6_43,40.61936
D6_43,41.20408
D6_43,42.12704
D6_43,43.69856
D6_43,44.26264
D6_43,44.81272
D6_43,45.51176
D6_43,46.50392
D6_43,47.15096
D6_43,47.93696
D6_43,48.81592
D6_43,49.53184
D6_43,50.0312
D6_43,51.1124
D6_43,51.99928
D6_43,52.5484
D6_43,53.26648
D6_43,53.90248
D6_43,54.25728
D6_43,55.44248
D6_43,56.45904
D6_43,57.42424
D6_43,58.3052
D6_43,58.98712
D6_43,60.2816
D6_43,60.90592
D6_43,62.40416
D6_43,63.25496
D6_43,64.49192
D6_43,64.95648
D6_43,66.52512
D6_43,67.80816
D6_43,69.7064
D6_43,70.91048
D6_43,71.91248
D6_43,72.35424
D6_43,73.50408
D6_43,74.37168
D6_43,74.91808
D6_43,75.31752
D6_43,75.74752
D6_43,77.04624
D6_43,77.6652
D6_43,78.4108
D6_43,79.07472
D6_43,80.06568
D6_43,82.18776
D6_43,83.01128
D6_43,83.68648
D6_43,85.15496
D6_43,85.49328
D6_43,87.91968
D6_43,89.57728
D6_43,90.03848
D6_43,92.45896
D6_43,97.32056
D6_43,98.27136
D6_43,98.96176
D6_21,99.9248
D6_43,101.232
D6_43,102.018
D6_43,102.95168
D6_43,104.10936
D6_43,104.89056
D6_43,105.64696
D6_43,106.95872
D6_43,108.98304
D6_43,109.67984
D6_43,110.644
D6_43,111.29424
D6_43,112.17792
D6_43,113.30632
