Investigator,ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,Ast23/a53tcor_Time0,0.02632,C1_41,0.013,,,,,,,,,,,,,,,,,,,,
Description,Ast23 and a53t cor right after seeding no liquid,0.0468,A1_21,0.013,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.0984,B1_22,0.012,,,,,,,,,,,,,,,,,,,,
   Original File Time,06/25/2021 11:28:25,0.11424,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.18024,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.19272,A2_33,0.018,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,06/25/2021 11:28:19,0.24936,A5_12,0.019,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.25064,C1_33,0.029,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.33224,A5_12,0.019,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.3452,A6_21,0.055,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.37856,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.41632,A6_11,0.058,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,0.47496,C1_24,0.017,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,0.52408,B4_43,0.017,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,0.52656,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,0.61312,B5_12,0.017,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4904,0.656,A6_11,0.059,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,0.69024,B2_44,0.015,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,0.7448,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,0.79984,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,0.91264,A5_12,0.02,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,0.97656,A1_13,0.023,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,1.04032,A1_31,0.022,,,,,,,,,,,,,,,,,,,,
,,1.06152,B5_12,0.014,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,1.10008,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,1.16568,B4_33,0.023,,,,,,,,,,,,,,,,,,,,
   Threshold,6,1.19792,C2_33,0.014,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,1.21856,B6_23,0.016,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,1.27384,B5_12,0.018,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,1.30408,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,1.3124,C1_33,0.024,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),1.38824,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,1.50112,C1_24,0.018,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,1.50488,A1_24,0.018,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,1.54264,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,1.5932,B6_23,0.021,,,,,,,,,,,,,,,,,,,,
,,1.72384,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,1.7328,C2_31,0.014,,,,,,,,,,,,,,,,,,,,
,,1.75208,A5_12,0.015,,,,,,,,,,,,,,,,,,,,
,,1.86104,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,1.88536,B6_23,0.019,,,,,,,,,,,,,,,,,,,,
,,1.93112,C1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,2.01776,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,2.204,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,2.40328,A1_31,0.017,,,,,,,,,,,,,,,,,,,,
,,2.42328,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,2.45384,A1_31,0.016,,,,,,,,,,,,,,,,,,,,
,,2.50312,A6_11,0.058,,,,,,,,,,,,,,,,,,,,
,,2.51032,C1_24,0.016,,,,,,,,,,,,,,,,,,,,
,,2.57608,B5_12,0.016,,,,,,,,,,,,,,,,,,,,
,,2.58344,C1_33,0.024,,,,,,,,,,,,,,,,,,,,
,,2.58632,B1_42,0.012,,,,,,,,,,,,,,,,,,,,
,,2.6068,B4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,2.67016,C2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,2.6716,A5_12,0.023,,,,,,,,,,,,,,,,,,,,
,,2.75544,A5_12,0.018,,,,,,,,,,,,,,,,,,,,
,,2.84568,C3_22,0.019,,,,,,,,,,,,,,,,,,,,
,,2.92184,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,2.93656,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,3.01328,B1_42,0.012,,,,,,,,,,,,,,,,,,,,
,,3.07096,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,3.1924,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,3.20168,C1_24,0.018,,,,,,,,,,,,,,,,,,,,
,,3.25016,A1_31,0.017,,,,,,,,,,,,,,,,,,,,
,,3.25864,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,3.33888,A5_12,0.019,,,,,,,,,,,,,,,,,,,,
,,3.34184,C2_33,0.012,,,,,,,,,,,,,,,,,,,,
,,3.48016,A5_12,0.021,,,,,,,,,,,,,,,,,,,,
,,3.57992,A1_31,0.023,,,,,,,,,,,,,,,,,,,,
,,3.6072,B1_13,0.015,,,,,,,,,,,,,,,,,,,,
,,3.61176,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,3.6772,B1_13,0.014,,,,,,,,,,,,,,,,,,,,
,,3.86152,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,3.87768,B4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,3.9124,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,3.92008,A1_21,0.014,,,,,,,,,,,,,,,,,,,,
,,3.9696,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,4.02312,B6_23,0.018,,,,,,,,,,,,,,,,,,,,
,,4.09872,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,4.27656,C1_33,0.022,,,,,,,,,,,,,,,,,,,,
,,4.28504,A5_12,0.02,,,,,,,,,,,,,,,,,,,,
,,4.29472,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,4.3748,C2_33,0.012,,,,,,,,,,,,,,,,,,,,
,,4.38336,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,4.53,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,4.64184,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
