Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
A5_11,71,39.96872,40.84272,0.8740000000000023
A5_11,58,89.75672,90.424,0.6672800000000052
A5_11,60,106.00424,106.69032,0.686080000000004
A5_11,5,107.88552,108.00624,0.12072000000000571
A5_11,69,169.28664,170.17768,0.8910400000000038
A5_11,65,499.2876,500.27328,0.9856800000000021
A5_11,9,504.96416,505.10144,0.1372800000000325
A5_12,36,39.95176,40.58192,0.6301599999999965
A5_12,47,89.7208,90.4684,0.7476000000000056
A5_12,35,105.99176,106.5576,0.5658399999999943
A5_12,38,169.20784,169.90192,0.6940799999999854
A5_12,33,499.35544,499.69064,0.3351999999999862
A5_12,10,504.91224,505.26296,0.3507200000000239
A5_13,48,39.94464,40.7808,0.8361599999999996
A5_13,10,40.89616,41.26704,0.37087999999999965
A5_13,13,41.88864,42.31064,0.42199999999999704
A5_13,50,89.68904,90.57912,0.8900799999999975
A5_13,47,105.99456,106.92072,0.9261599999999959
A5_13,5,107.02496,107.21496,0.19000000000001194
A5_13,27,169.23048,169.46216,0.23168000000001143
A5_13,16,169.5792,170.01048,0.4312800000000152
A5_13,6,170.12864,170.4896,0.3609600000000057
A5_13,42,499.2452,499.7916,0.5464000000000055
A5_13,10,499.90168,500.12592,0.22424000000000888
A5_13,8,500.56896,500.91928,0.3503200000000106
A5_13,12,502.21688,502.47584,0.25896000000000186
A5_13,14,504.89544,505.10352,0.20807999999999538
A5_14,87,39.94432,40.74016,0.7958400000000054
A5_14,11,40.84712,41.11728,0.2701600000000042
A5_14,7,41.23296,41.41328,0.1803200000000018
A5_14,24,41.99584,42.45864,0.46280000000000143
A5_14,104,89.73496,91.40496,1.6700000000000017
A5_14,100,105.99504,106.92424,0.9291999999999945
A5_14,6,107.21552,107.44064,0.22512000000000398
A5_14,12,107.8468,108.02664,0.17983999999999867
A5_14,85,169.22656,170.10736,0.8807999999999936
A5_14,7,170.20952,170.35936,0.14984000000001174
A5_14,103,499.246,500.17392,0.9279200000000287
A5_14,11,500.27688,500.65872,0.38184000000001106
A5_14,13,500.90632,501.15024,0.2439200000000028
A5_14,19,502.34536,502.59208,0.24671999999998206
A5_14,31,504.94416,505.27208,0.327920000000006
A5_21,60,39.99176,40.67328,0.681519999999999
A5_21,8,42.16568,42.27712,0.11143999999999465
A5_21,62,89.74584,90.6148,0.8689600000000013
A5_21,52,106.04232,106.89072,0.848399999999998
A5_21,6,107.90688,108.09008,0.18319999999999936
A5_21,53,169.25992,170.0492,0.7892800000000193
A5_21,59,499.3188,500.33624,1.017439999999965
A5_21,8,502.39088,502.6312,0.24031999999999698
A5_21,17,504.95312,505.07248,0.11935999999997193
A5_23,8,39.91808,40.10216,0.18407999999999447
A5_23,5,89.79368,89.85944,0.06576000000001159
A5_24,40,39.9548,40.52264,0.5678400000000039
A5_24,6,40.82544,41.10248,0.2770399999999995
A5_24,7,42.14864,42.2492,0.10056000000000154
A5_24,42,89.73112,90.4108,0.6796799999999905
