Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,1 month,116.6892,C4_23,0.008,,,,,,,,,,,,,,,,,,,,
Description,IsoCTL,172.05024,D1_21,0.01,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,198.6132,C5_31,0.008,,,,,,,,,,,,,,,,,,,,
   Original File Time,03/06/2021 11:30:38,202.12832,C1_22,0.012,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,233.56792,B1_42,0.036,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,333.7608,B1_42,0.029,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,03/06/2021 11:30:29,567.67784,B1_43,0.029,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,,,,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,,,,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,,,,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,,,,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,,,,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,,,,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,,,,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,,,,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,,,,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4915,,,,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,,,,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,,,,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,,,,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,,,,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,,,,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,,,,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,,,,,,,,,,,,,,,,,,,,,,,
   Threshold,6,,,,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,,,,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,,,,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,,,,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,,,,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),,,,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,,,,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,,,,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,,,,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well Information,,,,,,,,,,,,,,,,,,,,,,,,
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#FF7E05,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#FF0D0D,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Treatment,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,
