Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,1 month,66.5284,A1_12,0.01,,,,,,,,,,,,,,,,,,,,
Description,SNCA Triplication,199.42008,C6_32,0.011,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,221.43288,C5_44,0.013,,,,,,,,,,,,,,,,,,,,
   Original File Time,03/06/2021 11:43:37,287.66992,D4_42,0.01,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,385.24288,B2_23,0.015,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,424.49064,C3_12,0.011,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,03/06/2021 11:43:24,447.54992,A3_41,0.01,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,488.7912,B1_22,0.01,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,543.89408,A2_21,0.011,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,,,,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,,,,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,,,,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,,,,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,,,,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,,,,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,,,,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4904,,,,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,,,,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,,,,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,,,,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,,,,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,,,,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,,,,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,,,,,,,,,,,,,,,,,,,,,,,
   Threshold,6,,,,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,,,,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,,,,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,,,,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,,,,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),,,,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,,,,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,,,,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,,,,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well Information,,,,,,,,,,,,,,,,,,,,,,,,
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#FF0D0D,#00FF00,#00FF00,#00FF00,#FF7E05,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Treatment,,,,,,,,,,,,,,,,,,,,,,,,
Concentration,,,,,,,,,,,,,,,,,,,,,,,,
Additional Information,,,,,,,,,,,,,,,,,,,,,,,,
