Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,1 Month,2.52208,D2_11,0.015
Description,SNCA Triplication,3.06232,B4_34,0.012
Maestro Edge Settings,,3.74008,D2_11,0.011
   Original File Time,04/01/2021 15:06:11,3.97216,D2_11,0.015
   Sampling Frequency,12.5 kHz,4.01752,C4_11,0.019
   Voltage Scale,-5.48486178148311E-08 V/sample,5.14184,B4_34,0.014
   Experiment Start Time,04/01/2021 15:06:03,5.40808,D3_24,0.012
   Referencing Method,Median,5.516,B5_21,0.018
   Analog Mode Setting,Neural Spikes,6.46816,B2_21,0.021
   Plate Type,CytoView MEA 24,7.17792,D2_11,0.013
   Digital Low Pass Filter,3 kHz Kaiser Window,8.85144,D2_24,0.022
   Digital High Pass Filter,200 Hz IIR,8.93664,B2_21,0.017
   Temperature Set Point,37.0 Degrees C,9.05232,B2_21,0.016
   Current Temperature,36.8 Degrees C,9.15448,B2_21,0.019
   Heater Power,On,9.36344,C4_11,0.017
   Barcode Plate Type,TwentyFourWell,9.44048,B2_21,0.017
   Plate Serial Number,85-4912,9.50616,C4_11,0.017
   CO2 Conc. Set Point,5.00%,9.86344,B2_21,0.019
   Actual CO2 Conc.,5.00%,9.9848,B2_21,0.02
   Gas Mixer Status,Regulating,10.19056,B2_21,0.02
   AxIS Version,1.5.1.12,11.0792,D2_24,0.022
   Maestro Edge Firmware,1.5.1.12,12.8828,B2_21,0.018
   Maestro Edge BioCore Version,4B,14.05704,D2_24,0.02
,,14.996,D2_24,0.024
Spike Detector Settings,,15.17136,A1_23,0.017
   Method,Adaptive Threshold Crossing,15.706,D2_24,0.023
   Threshold,6,16.45024,A1_23,0.021
   Threshold Status,Variable,16.70336,A1_23,0.018
   Threshold Crossing Only,TRUE,16.83912,D2_24,0.018
   Pre-Spike Duration,0.84 ms,17.676,A1_23,0.016
   Post-Spike Duration,2.16 ms,17.95128,B6_32,0.017
   Coincident Event Filter,Default (Well),18.70672,D5_41,0.004
   Coincidence Occurrence Threshold,4 Electrodes,18.71128,D5_41,0.004
   Coincidence Event Window,160 µs,20.4156,D3_24,0.014
   Allow Sample Overlap,FALSE,21.08504,A1_23,0.016
   Spike Count Interval,1 s,21.61176,D2_11,0.013
,,22.39976,A1_23,0.019
,,23.70792,B2_21,0.02
,,24.14736,D2_12,0.02
,,24.38936,B2_21,0.018
,,24.89368,D5_12,0.013
,,26.04536,D3_24,0.013
,,26.28144,C2_31,0.013
,,26.53744,A1_23,0.014
,,26.7948,B4_34,0.013
,,26.94592,D2_24,0.021
,,27.29504,D3_24,0.012
