Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,3 months,0.25304,B4_12,0.019,,,,,,,,,,,,,,,,,,,,
Description,Iso CTL,0.4396,D1_22,0.015,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.50704,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
   Original File Time,02/06/2023 13:08:00,0.58064,D3_44,0.017,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.60864,C5_42,0.023,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.73872,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,02/06/2023 13:07:48,0.87008,D4_31,0.02,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.9064,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.99656,B4_12,0.02,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,1.12584,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,1.16928,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,1.3596,B4_23,0.019,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,1.52824,B4_12,0.012,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,1.67104,A6_12,0.018,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,1.76088,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,1.8156,D2_44,0.023,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,97-3342,2.00344,D2_44,0.018,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,2.01864,C3_23,0.015,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,2.05384,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,2.12376,B4_12,0.02,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,2.30592,B4_12,0.02,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,2.49944,B4_23,0.015,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,2.5624,A6_11,0.017,,,,,,,,,,,,,,,,,,,,
,,2.62184,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,2.9224,D2_32,0.014,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,3.152,A6_22,0.016,,,,,,,,,,,,,,,,,,,,
   Threshold,6,3.35528,D1_44,0.035,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,3.40968,D1_44,0.035,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,3.5844,D1_44,0.037,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,3.67184,D1_44,0.03,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,4.52144,A1_43,0.022,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),4.66736,B4_13,0.013,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,4.72824,B4_12,0.021,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,4.97,D3_43,0.017,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,5.04256,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,5.22784,D1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,5.35056,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,5.43928,B4_12,0.017,,,,,,,,,,,,,,,,,,,,
,,5.48744,D1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,5.60608,B4_12,0.012,,,,,,,,,,,,,,,,,,,,
,,5.61904,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,5.90528,B4_12,0.016,,,,,,,,,,,,,,,,,,,,
,,5.98184,C6_22,0.015,,,,,,,,,,,,,,,,,,,,
,,6.12152,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,6.3744,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,6.45832,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,6.61336,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,6.89368,B4_12,0.02,,,,,,,,,,,,,,,,,,,,
,,6.9328,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,6.95944,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,7.08776,D5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,7.19408,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,7.57784,D3_23,0.016,,,,,,,,,,,,,,,,,,,,
,,7.664,D3_43,0.015,,,,,,,,,,,,,,,,,,,,
,,7.71616,D4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,8.06872,A1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,8.16536,D1_14,0.022,,,,,,,,,,,,,,,,,,,,
,,8.20216,A6_22,0.016,,,,,,,,,,,,,,,,,,,,
,,8.30888,B4_12,0.019,,,,,,,,,,,,,,,,,,,,
,,8.44744,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,8.5436,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,8.55136,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,8.72256,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,9.07528,A1_44,0.018,,,,,,,,,,,,,,,,,,,,
,,9.21304,D3_44,0.019,,,,,,,,,,,,,,,,,,,,
,,9.24296,A1_44,0.019,,,,,,,,,,,,,,,,,,,,
,,9.47248,A1_44,0.017,,,,,,,,,,,,,,,,,,,,
,,9.52712,B6_33,0.018,,,,,,,,,,,,,,,,,,,,
,,9.57344,A1_22,0.017,,,,,,,,,,,,,,,,,,,,
,,9.86216,B4_12,0.017,,,,,,,,,,,,,,,,,,,,
,,10.74912,B4_12,0.018,,,,,,,,,,,,,,,,,,,,
,,10.84944,A3_34,0.008,,,,,,,,,,,,,,,,,,,,
,,10.95248,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,11.01408,D5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,11.06296,B4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,11.13488,A5_14,0.018,,,,,,,,,,,,,,,,,,,,
,,11.14248,C6_22,0.013,,,,,,,,,,,,,,,,,,,,
,,11.48184,D4_42,0.016,,,,,,,,,,,,,,,,,,,,
,,11.5224,B4_12,0.018,,,,,,,,,,,,,,,,,,,,
,,11.58336,B4_23,0.014,,,,,,,,,,,,,,,,,,,,
,,11.68328,A1_22,0.017,,,,,,,,,,,,,,,,,,,,
,,11.95128,D2_31,0.017,,,,,,,,,,,,,,,,,,,,
,,11.95392,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,12.0672,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,12.22936,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,12.23528,B4_13,0.018,,,,,,,,,,,,,,,,,,,,
,,12.23984,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,12.4404,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,12.61576,B4_13,0.018,,,,,,,,,,,,,,,,,,,,
,,12.62352,B4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,12.7268,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,12.80192,B4_12,0.009,,,,,,,,,,,,,,,,,,,,
,,12.84912,D3_14,0.017,,,,,,,,,,,,,,,,,,,,
,,12.85808,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,12.87872,D2_32,0.019,,,,,,,,,,,,,,,,,,,,
,,12.96696,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,12.98016,C1_13,0.014,,,,,,,,,,,,,,,,,,,,
,,13.30728,B2_31,0.012,,,,,,,,,,,,,,,,,,,,
,,13.43016,B4_12,0.018,,,,,,,,,,,,,,,,,,,,
,,13.53528,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,13.82144,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,13.99728,D4_42,0.016,,,,,,,,,,,,,,,,,,,,
,,14.06544,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,14.08176,D3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,14.21168,D1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,14.29456,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,14.30224,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,14.47464,D5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,14.54856,D1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,14.60504,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,14.87776,D1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,15.89232,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,16.21112,D3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,16.6496,A1_34,0.018,,,,,,,,,,,,,,,,,,,,
,,16.73776,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,16.77888,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,17.07784,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,17.36544,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,17.5388,C6_22,0.012,,,,,,,,,,,,,,,,,,,,
,,17.56424,A1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,17.58,C6_23,0.017,,,,,,,,,,,,,,,,,,,,
,,17.68384,C1_44,0.019,,,,,,,,,,,,,,,,,,,,
,,17.6956,D3_32,0.018,,,,,,,,,,,,,,,,,,,,
,,17.99656,D3_32,0.021,,,,,,,,,,,,,,,,,,,,
,,18.26568,D2_44,0.026,,,,,,,,,,,,,,,,,,,,
,,18.27744,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,18.30936,D2_31,0.019,,,,,,,,,,,,,,,,,,,,
,,18.42704,D5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,18.43592,D2_44,0.025,,,,,,,,,,,,,,,,,,,,
,,18.53984,D2_44,0.019,,,,,,,,,,,,,,,,,,,,
,,18.62104,D2_44,0.024,,,,,,,,,,,,,,,,,,,,
,,18.65024,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,18.73288,D2_44,0.018,,,,,,,,,,,,,,,,,,,,
,,18.76032,D5_33,0.011,,,,,,,,,,,,,,,,,,,,
,,18.81696,C1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,18.86296,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,18.90096,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,18.97664,D3_44,0.017,,,,,,,,,,,,,,,,,,,,
,,19.0168,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,19.13672,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
