Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,2ko_3months_batchMar2123_pharma,00000.003520,D3_43,0.046
Description,15 ul of media,00000.024560,A3_21,0.023
Maestro Edge Settings,,00000.033360,C6_31,0.02
   Original File Time,06/28/2023 14:15:08,00000.039040,D6_32,0.023
   Sampling Frequency,12.5 kHz,00000.043200,D3_43,0.045
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.056480,C6_33,0.016
   Experiment Start Time,06/28/2023 14:15:01,00000.102800,D1_33,0.046
   Referencing Method,Median,00000.113360,D1_33,0.062
   Analog Mode Setting,Neural Spikes,00000.113680,D3_12,0.035
   Plate Type,CytoView MEA 24,00000.119840,D3_43,0.049
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.123680,B3_43,0.025
   Digital High Pass Filter,200 Hz IIR,00000.137680,A3_32,0.033
   Temperature Set Point,37.0 Degrees C,00000.144160,A3_31,0.036
   Current Temperature,36.9 Degrees C,00000.145520,D2_31,0.029
   Heater Power,On,00000.148160,D4_42,0.026
   Barcode Plate Type,TwentyFourWell,00000.153600,D1_24,0.015
   Plate Serial Number,111-1443,00000.155520,D6_32,0.024
   CO2 Conc. Set Point,5.0 %,00000.165040,A3_33,0.024
   Actual CO2 Conc.,4.0 %,00000.176720,D3_43,0.048
   Gas Mixer Status,Regulating,00000.200480,B3_43,0.025
   AxIS Version,1.5.1.12,00000.254640,D1_24,0.014
   Maestro Edge Firmware,1.5.1.12,00000.261680,C6_31,0.019
   Maestro Edge BioCore Version,4B,00000.313440,D1_33,0.042
,,00000.316160,D1_33,0.055
Spike Detector Settings,,00000.317280,B3_43,0.022
   Method,Adaptive Threshold Crossing,00000.323840,C1_32,0.019
   Threshold,6,00000.328560,B3_13,0.021
   Threshold Status,Variable,00000.338160,C6_32,0.017
   Threshold Crossing Only,True,00000.338160,D1_33,0.099
   Pre-Spike Duration,0.84 ms,00000.341920,D1_33,0.061
   Post-Spike Duration,2.16 ms,00000.374560,D1_22,0.048
   Coincident Event Filter,Default (Well),00000.379200,B1_31,0.018
   Coincidence Occurrence Threshold,4 Electrodes,00000.382400,D1_33,0.058
   Coincidence Event Window,160 µs,00000.396240,C6_44,0.033
   Allow Sample Overlap,false,00000.418640,C4_12,0.054
   Spike Count Interval,1 s,00000.422000,A2_11,0.019
,,00000.426720,D1_33,0.059
,,00000.435760,D1_33,0.057
,,00000.463120,C6_43,0.065
,,00000.499120,C6_31,0.025
,,00000.499760,A1_32,0.056
,,00000.501360,B5_32,0.025
,,00000.507520,D4_33,0.019
,,00000.520800,A4_34,0.028
,,00000.521760,A3_32,0.03
,,00000.604400,A2_11,0.018
,,00000.621680,C4_22,0.029
,,00000.628240,B3_22,0.018
,,00000.631760,B3_44,0.026
,,00000.639600,A1_33,0.027
,,00000.655040,C4_42,0.018
