Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,3 months,0.02104,C1_33,0.021,,,,,,,,,,,,,,,,,,,,
Description,SNCA Triplication,0.04464,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.06792,A4_43,0.017,,,,,,,,,,,,,,,,,,,,
   Original File Time,02/06/2023 13:54:48,0.13912,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.17544,C3_43,0.015,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.23072,A1_44,0.015,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,02/06/2023 13:54:41,0.31144,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.37736,C6_44,0.018,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.51784,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.52016,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.52912,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.53176,D2_33,0.026,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,0.6696,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,0.754,B6_43,0.016,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,0.81896,C5_44,0.018,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,0.90776,B3_31,0.016,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,97-3320,0.9724,B6_44,0.022,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,0.97472,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,7.40%,1.04688,B5_12,0.021,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,1.13376,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,1.18056,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,1.42008,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,1.4988,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,1.53544,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,1.82664,D2_34,0.014,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,2.02192,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
   Threshold,6,2.1268,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,2.23656,D6_32,0.018,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,2.23672,C4_33,0.028,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,2.28176,C4_34,0.016,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,2.4832,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),2.54608,C5_33,0.013,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,2.58584,B6_42,0.016,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,2.7216,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,2.74448,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,2.83632,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,2.93896,C5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,2.99608,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,3.04208,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,3.05216,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,3.16928,C5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,3.17944,B4_32,0.02,,,,,,,,,,,,,,,,,,,,
,,3.24224,A4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,3.26472,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,3.4192,B6_44,0.014,,,,,,,,,,,,,,,,,,,,
,,3.66568,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,3.68192,C5_43,0.018,,,,,,,,,,,,,,,,,,,,
,,3.78648,B5_11,0.019,,,,,,,,,,,,,,,,,,,,
,,3.8144,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,3.818,C3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,3.89912,C5_44,0.02,,,,,,,,,,,,,,,,,,,,
,,3.8992,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,4.07856,D2_13,0.025,,,,,,,,,,,,,,,,,,,,
,,4.08448,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,4.10048,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,4.1836,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,4.20728,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,4.22392,A4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,4.27128,B5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,4.45488,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,5.07072,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,5.08456,C5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,5.11656,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,5.13664,A1_42,0.013,,,,,,,,,,,,,,,,,,,,
,,5.1372,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,5.18648,C1_33,0.015,,,,,,,,,,,,,,,,,,,,
,,5.31832,D2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,5.45,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,5.50752,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,5.56344,B5_11,0.018,,,,,,,,,,,,,,,,,,,,
,,5.64056,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,6.04872,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,6.06984,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,6.47936,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,6.558,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,6.58072,B5_31,0.013,,,,,,,,,,,,,,,,,,,,
,,6.60424,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,6.61784,B5_31,0.013,,,,,,,,,,,,,,,,,,,,
,,6.6896,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,6.71344,B5_31,0.018,,,,,,,,,,,,,,,,,,,,
,,6.76376,C5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,6.9672,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,7.03416,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,7.03904,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,7.11056,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,7.2936,C5_22,0.024,,,,,,,,,,,,,,,,,,,,
,,7.33216,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,7.3452,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,7.41096,A4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,7.50024,C2_42,0.011,,,,,,,,,,,,,,,,,,,,
,,7.74088,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,7.96552,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,7.97296,C4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,8.30848,A4_43,0.022,,,,,,,,,,,,,,,,,,,,
,,8.41208,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,8.49976,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,8.58456,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
