Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,,0.02296,B3_33,0.019,,,,,,,,,,,,,,,,,,,,
Description,Iso CTL,0.06032,B3_22,0.012,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.10928,B1_31,0.017,,,,,,,,,,,,,,,,,,,,
   Original File Time,03/31/2023 14:33:46,0.18752,D6_33,0.015,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.43784,B3_32,0.017,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.44448,B2_12,0.015,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,03/31/2023 14:33:36,0.44624,B2_23,0.024,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.50088,A5_22,0.014,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.54616,B1_14,0.015,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.64408,D6_23,0.022,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.87472,A5_23,0.011,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.88136,A5_13,0.015,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,1.02968,C4_24,0.015,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.8 Degrees C,1.1316,C4_12,0.015,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,1.21384,B3_11,0.016,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,1.6536,A5_13,0.011,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,100-8404,1.75088,B1_43,0.012,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,1.83344,B1_31,0.016,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,3.90%,1.85664,B3_21,0.019,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,2.0464,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,2.06184,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,2.06928,A5_23,0.022,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,2.16704,D1_33,0.013,,,,,,,,,,,,,,,,,,,,
,,2.2028,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,2.21888,A5_23,0.02,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,2.28968,A5_23,0.016,,,,,,,,,,,,,,,,,,,,
   Threshold,6,2.30952,B3_34,0.016,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,2.33296,A4_13,0.017,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,2.36376,A5_23,0.018,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,2.38288,A5_23,0.019,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,2.55984,A4_13,0.015,,,,,,,,,,,,,,,,,,,,
