Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,,0.01312,C1_44,0.027,,,,,,,,,,,,,,,,,,,,
Description,SNCA Triplication,0.01456,A5_33,0.013,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.0256,A4_32,0.023,,,,,,,,,,,,,,,,,,,,
   Original File Time,03/31/2023 13:36:54,0.0548,A4_32,0.018,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.08,C1_12,0.019,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.08032,A4_32,0.022,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,03/31/2023 13:36:47,0.09568,A6_42,0.047,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.10064,C1_44,0.025,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.10936,A4_32,0.023,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.11576,B6_32,0.011,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.13464,B5_34,0.017,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.13952,A4_32,0.026,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,0.17016,A4_32,0.024,,,,,,,,,,,,,,,,,,,,
   Current Temperature,37.0 Degrees C,0.17616,B6_22,0.016,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,0.18232,C1_44,0.022,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,0.18416,A4_34,0.019,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,100-8408,0.20144,B5_23,0.028,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,0.2156,A6_42,0.042,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,6.60%,0.22152,A4_42,0.037,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,0.22416,B1_32,0.025,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,0.23256,B5_34,0.018,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,0.24864,A4_32,0.024,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,0.24944,C1_12,0.015,,,,,,,,,,,,,,,,,,,,
,,0.28944,D2_42,0.02,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,0.29592,B5_34,0.017,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,0.29736,A4_24,0.023,,,,,,,,,,,,,,,,,,,,
   Threshold,6,0.3,A6_34,0.051,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,0.32088,C1_23,0.013,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,0.3332,B3_32,0.021,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,0.37048,A4_42,0.034,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,0.40712,D3_42,0.012,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),0.42136,C2_11,0.015,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,0.43608,C1_23,0.027,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,0.46232,A6_42,0.047,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,0.46232,D3_23,0.015,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,0.53024,D3_34,0.011,,,,,,,,,,,,,,,,,,,,
,,0.54792,B4_34,0.027,,,,,,,,,,,,,,,,,,,,
,,0.57048,C2_11,0.014,,,,,,,,,,,,,,,,,,,,
,,0.59744,B1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,0.62208,B5_31,0.024,,,,,,,,,,,,,,,,,,,,
,,0.6228,A4_22,0.048,,,,,,,,,,,,,,,,,,,,
,,0.65224,C2_11,0.019,,,,,,,,,,,,,,,,,,,,
,,0.6532,C1_13,0.015,,,,,,,,,,,,,,,,,,,,
,,0.68352,A4_42,0.034,,,,,,,,,,,,,,,,,,,,
,,0.68496,C2_32,0.018,,,,,,,,,,,,,,,,,,,,
,,0.7,A4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,0.70464,D3_12,0.015,,,,,,,,,,,,,,,,,,,,
,,0.70896,A5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,0.72144,C1_23,0.013,,,,,,,,,,,,,,,,,,,,
,,0.72176,D3_23,0.013,,,,,,,,,,,,,,,,,,,,
,,0.7316,B5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,0.74008,D3_42,0.014,,,,,,,,,,,,,,,,,,,,
,,0.75624,D3_12,0.015,,,,,,,,,,,,,,,,,,,,
,,0.79112,D2_32,0.015,,,,,,,,,,,,,,,,,,,,
,,0.79504,D3_42,0.018,,,,,,,,,,,,,,,,,,,,
,,0.80584,C1_23,0.013,,,,,,,,,,,,,,,,,,,,
,,0.80744,A4_42,0.033,,,,,,,,,,,,,,,,,,,,
,,0.81248,C1_23,0.014,,,,,,,,,,,,,,,,,,,,
,,0.81288,A4_44,0.018,,,,,,,,,,,,,,,,,,,,
,,0.83144,D3_42,0.014,,,,,,,,,,,,,,,,,,,,
,,0.83864,A6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,0.84768,D2_31,0.015,,,,,,,,,,,,,,,,,,,,
,,0.86256,B3_32,0.018,,,,,,,,,,,,,,,,,,,,
,,0.86376,C2_11,0.011,,,,,,,,,,,,,,,,,,,,
,,0.8696,D2_42,0.018,,,,,,,,,,,,,,,,,,,,
,,0.88544,B3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,0.88904,C1_42,0.017,,,,,,,,,,,,,,,,,,,,
,,0.89872,D3_42,0.019,,,,,,,,,,,,,,,,,,,,
,,0.91304,D3_12,0.013,,,,,,,,,,,,,,,,,,,,
,,0.91736,D3_12,0.017,,,,,,,,,,,,,,,,,,,,
,,0.92424,C2_32,0.017,,,,,,,,,,,,,,,,,,,,
,,0.92512,A4_34,0.021,,,,,,,,,,,,,,,,,,,,
,,0.93192,A6_42,0.051,,,,,,,,,,,,,,,,,,,,
,,0.9476,B1_14,0.018,,,,,,,,,,,,,,,,,,,,
,,0.96688,D3_31,0.018,,,,,,,,,,,,,,,,,,,,
,,0.98152,C2_11,0.026,,,,,,,,,,,,,,,,,,,,
,,0.98504,C2_11,0.015,,,,,,,,,,,,,,,,,,,,
,,0.99656,A5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,1.0128,A4_42,0.024,,,,,,,,,,,,,,,,,,,,
,,1.0424,D2_31,0.017,,,,,,,,,,,,,,,,,,,,
,,1.0604,A5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,1.07536,A4_22,0.047,,,,,,,,,,,,,,,,,,,,
,,1.09856,A5_31,0.012,,,,,,,,,,,,,,,,,,,,
,,1.1332,A4_33,0.017,,,,,,,,,,,,,,,,,,,,
,,1.13376,A5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,1.14264,C1_13,0.017,,,,,,,,,,,,,,,,,,,,
,,1.22512,D2_31,0.018,,,,,,,,,,,,,,,,,,,,
,,1.22736,A5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,1.22864,D2_42,0.021,,,,,,,,,,,,,,,,,,,,
,,1.23136,C2_11,0.021,,,,,,,,,,,,,,,,,,,,
,,1.26424,A4_42,0.034,,,,,,,,,,,,,,,,,,,,
,,1.27696,B1_32,0.024,,,,,,,,,,,,,,,,,,,,
,,1.278,D3_33,0.019,,,,,,,,,,,,,,,,,,,,
,,1.31776,A5_32,0.016,,,,,,,,,,,,,,,,,,,,
,,1.32696,A3_31,0.016,,,,,,,,,,,,,,,,,,,,
,,1.33488,D2_42,0.039,,,,,,,,,,,,,,,,,,,,
,,1.34512,D1_13,0.012,,,,,,,,,,,,,,,,,,,,
,,1.34872,B6_22,0.016,,,,,,,,,,,,,,,,,,,,
,,1.36944,B1_32,0.023,,,,,,,,,,,,,,,,,,,,
,,1.38456,A4_34,0.032,,,,,,,,,,,,,,,,,,,,
,,1.38504,B5_22,0.025,,,,,,,,,,,,,,,,,,,,
,,1.39472,D2_31,0.017,,,,,,,,,,,,,,,,,,,,
,,1.42112,D2_42,0.036,,,,,,,,,,,,,,,,,,,,
,,1.43808,C1_23,0.028,,,,,,,,,,,,,,,,,,,,
,,1.4692,D2_32,0.017,,,,,,,,,,,,,,,,,,,,
,,1.4708,D3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,1.47592,D3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,1.5128,B5_22,0.024,,,,,,,,,,,,,,,,,,,,
,,1.51632,B3_23,0.023,,,,,,,,,,,,,,,,,,,,
,,1.51632,B3_33,0.044,,,,,,,,,,,,,,,,,,,,
,,1.5164,B3_22,0.026,,,,,,,,,,,,,,,,,,,,
,,1.51672,B3_32,0.025,,,,,,,,,,,,,,,,,,,,
,,1.51824,B5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,1.52152,D3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,1.52464,A4_42,0.035,,,,,,,,,,,,,,,,,,,,
,,1.5368,D3_33,0.018,,,,,,,,,,,,,,,,,,,,
,,1.55688,A4_42,0.031,,,,,,,,,,,,,,,,,,,,
,,1.55704,B5_31,0.021,,,,,,,,,,,,,,,,,,,,
,,1.55896,A6_42,0.047,,,,,,,,,,,,,,,,,,,,
,,1.56008,D2_31,0.019,,,,,,,,,,,,,,,,,,,,
,,1.56112,D2_42,0.022,,,,,,,,,,,,,,,,,,,,
,,1.56576,D2_42,0.038,,,,,,,,,,,,,,,,,,,,
,,1.5708,A3_42,0.016,,,,,,,,,,,,,,,,,,,,
,,1.57608,A5_32,0.014,,,,,,,,,,,,,,,,,,,,
,,1.578,C1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,1.58064,B5_22,0.023,,,,,,,,,,,,,,,,,,,,
,,1.58424,A4_42,0.024,,,,,,,,,,,,,,,,,,,,
,,1.59256,C6_13,0.012,,,,,,,,,,,,,,,,,,,,
,,1.60464,B4_14,0.02,,,,,,,,,,,,,,,,,,,,
,,1.60944,A4_42,0.032,,,,,,,,,,,,,,,,,,,,
,,1.62496,A4_34,0.028,,,,,,,,,,,,,,,,,,,,
,,1.63296,A4_42,0.027,,,,,,,,,,,,,,,,,,,,
,,1.65,B5_22,0.023,,,,,,,,,,,,,,,,,,,,
,,1.65728,A6_34,0.017,,,,,,,,,,,,,,,,,,,,
,,1.65968,A4_42,0.029,,,,,,,,,,,,,,,,,,,,
,,1.6844,A4_34,0.031,,,,,,,,,,,,,,,,,,,,
,,1.68888,D3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,1.6936,A4_42,0.036,,,,,,,,,,,,,,,,,,,,
,,1.72072,D3_12,0.018,,,,,,,,,,,,,,,,,,,,
,,1.73688,D2_31,0.021,,,,,,,,,,,,,,,,,,,,
,,1.74808,D1_34,0.023,,,,,,,,,,,,,,,,,,,,
,,1.7516,D3_12,0.017,,,,,,,,,,,,,,,,,,,,
,,1.77136,C1_22,0.026,,,,,,,,,,,,,,,,,,,,
,,1.77528,A4_34,0.018,,,,,,,,,,,,,,,,,,,,
,,1.77856,C2_11,0.013,,,,,,,,,,,,,,,,,,,,
,,1.78128,A4_42,0.035,,,,,,,,,,,,,,,,,,,,
,,1.78296,B5_34,0.015,,,,,,,,,,,,,,,,,,,,
,,1.7868,D3_22,0.023,,,,,,,,,,,,,,,,,,,,
,,1.78704,D3_12,0.018,,,,,,,,,,,,,,,,,,,,
,,1.79256,C2_11,0.021,,,,,,,,,,,,,,,,,,,,
,,1.79408,A4_34,0.021,,,,,,,,,,,,,,,,,,,,
,,1.7956,B5_22,0.025,,,,,,,,,,,,,,,,,,,,
,,1.79752,A5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,1.8188,C2_11,0.016,,,,,,,,,,,,,,,,,,,,
,,1.83208,A4_42,0.032,,,,,,,,,,,,,,,,,,,,
,,1.8352,A5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,1.83928,B5_24,0.014,,,,,,,,,,,,,,,,,,,,
,,1.83984,A5_33,0.011,,,,,,,,,,,,,,,,,,,,
,,1.84296,B5_34,0.017,,,,,,,,,,,,,,,,,,,,
,,1.85328,C1_14,0.019,,,,,,,,,,,,,,,,,,,,
,,1.86808,A4_22,0.035,,,,,,,,,,,,,,,,,,,,
,,1.8688,D2_31,0.017,,,,,,,,,,,,,,,,,,,,
,,1.87904,A4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,1.88544,A4_22,0.027,,,,,,,,,,,,,,,,,,,,
,,1.88968,C1_22,0.021,,,,,,,,,,,,,,,,,,,,
,,1.90464,B5_22,0.025,,,,,,,,,,,,,,,,,,,,
,,1.91784,D3_42,0.014,,,,,,,,,,,,,,,,,,,,
,,1.92992,C1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,1.93928,A1_42,0.014,,,,,,,,,,,,,,,,,,,,
,,1.93944,B5_43,0.014,,,,,,,,,,,,,,,,,,,,
,,1.9476,A4_42,0.031,,,,,,,,,,,,,,,,,,,,
,,1.96704,A4_22,0.026,,,,,,,,,,,,,,,,,,,,
,,1.97008,A5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,1.9736,D3_42,0.016,,,,,,,,,,,,,,,,,,,,
,,1.98248,C1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,1.9828,B5_34,0.019,,,,,,,,,,,,,,,,,,,,
,,2.00368,C2_11,0.018,,,,,,,,,,,,,,,,,,,,
,,2.00592,A4_42,0.03,,,,,,,,,,,,,,,,,,,,
,,2.00992,D3_32,0.016,,,,,,,,,,,,,,,,,,,,
,,2.01088,D3_22,0.027,,,,,,,,,,,,,,,,,,,,
,,2.02232,D2_31,0.016,,,,,,,,,,,,,,,,,,,,
,,2.02496,D3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,2.0312,A5_32,0.014,,,,,,,,,,,,,,,,,,,,
,,2.03376,B6_11,0.018,,,,,,,,,,,,,,,,,,,,
,,2.05608,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
,,2.06392,A4_22,0.021,,,,,,,,,,,,,,,,,,,,
,,2.06528,A3_31,0.021,,,,,,,,,,,,,,,,,,,,
,,2.06608,A4_42,0.036,,,,,,,,,,,,,,,,,,,,
,,2.08192,B5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,2.08288,B5_22,0.023,,,,,,,,,,,,,,,,,,,,
,,2.10224,D3_32,0.016,,,,,,,,,,,,,,,,,,,,
