Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,Iso CTL Quinpirole ,0.00256,C5_43,0.041
Description,,0.0132,C1_43,0.018
Maestro Edge Settings,,0.03456,C5_42,0.035
   Original File Time,08/21/2023 12:29:20,0.04472,C5_32,0.045
   Sampling Frequency,12.5 kHz,0.04632,C5_42,0.042
   Voltage Scale,-5.48486178148311E-08 V/sample,0.05152,C2_23,0.021
   Experiment Start Time,08/21/2023 12:29:14,0.05576,C5_42,0.034
   Referencing Method,Median,0.084,C5_42,0.038
   Analog Mode Setting,Neural Spikes,0.08616,C1_43,0.019
   Plate Type,CytoView MEA 24,0.08712,C5_43,0.062
   Digital Low Pass Filter,3 kHz Kaiser Window,0.1064,C1_43,0.024
   Digital High Pass Filter,200 Hz IIR,0.12648,C5_43,0.025
   Temperature Set Point,37.0 Degrees C,0.1316,C5_32,0.035
   Current Temperature,37.0 Degrees C,0.16584,C5_43,0.038
   Heater Power,On,0.17352,C5_43,0.025
   Barcode Plate Type,TwentyFourWell,0.19624,C1_43,0.024
   Plate Serial Number,111-1443,0.2456,C1_22,0.021
   CO2 Conc. Set Point,5.00%,0.25128,C5_42,0.045
   Actual CO2 Conc.,9.70%,0.29056,C1_42,0.015
   Gas Mixer Status,Regulating,0.2976,C6_22,0.021
   AxIS Version,1.5.1.12,0.36616,C1_43,0.023
   Maestro Edge Firmware,1.5.1.12,0.3876,C5_42,0.029
   Maestro Edge BioCore Version,4B,0.39432,C1_12,0.019
,,0.44328,C3_33,0.041
Spike Detector Settings,,0.45824,C2_23,0.033
   Method,Adaptive Threshold Crossing,0.54328,C5_43,0.066
   Threshold,6,0.57608,C5_32,0.04
   Threshold Status,Variable,0.59472,C5_43,0.023
   Threshold Crossing Only,TRUE,0.59656,C6_22,0.028
   Pre-Spike Duration,0.84 ms,0.62408,C2_23,0.022
   Post-Spike Duration,2.16 ms,0.6252,C5_42,0.042
   Coincident Event Filter,Default (Well),0.62872,C2_23,0.033
   Coincidence Occurrence Threshold,4 Electrodes,0.63128,C5_42,0.031
   Coincidence Event Window,160 µs,0.63176,C5_43,0.035
   Allow Sample Overlap,FALSE,0.64424,C2_23,0.031
   Spike Count Interval,1 s,0.70176,C1_43,0.021
,,0.70496,C3_33,0.039
,,0.71032,C5_42,0.051
,,0.72144,C5_32,0.036
,,0.87728,C5_32,0.038
,,0.93864,C5_42,0.061
,,0.96432,C1_43,0.021
,,0.98888,C6_22,0.025
,,0.9952,C2_33,0.033
,,0.99584,C5_42,0.03
,,1.0352,C1_22,0.02
,,1.03776,C5_42,0.04
,,1.06192,C1_43,0.033
,,1.11536,C2_23,0.024
,,1.118,C3_33,0.036
,,1.13464,C3_23,0.012
,,1.14936,C5_43,0.032
,,1.16632,C5_42,0.029
,,1.16712,C5_32,0.036
,,1.20096,C5_43,0.023
,,1.2076,C2_23,0.031
,,1.29144,C6_22,0.039
,,1.3392,C5_43,0.057
,,1.34512,C5_42,0.032
,,1.35488,C5_43,0.025
,,1.4152,C3_13,0.036
,,1.436,C6_22,0.026
,,1.44936,C5_32,0.04
,,1.46776,C3_13,0.024
,,1.47728,C3_23,0.012
,,1.48808,C5_42,0.032
,,1.52784,C5_42,0.043
,,1.54552,C5_42,0.035
,,1.56,C3_43,0.021
,,1.56336,C1_43,0.019
,,1.57048,C5_32,0.042
,,1.57576,C2_23,0.018
,,1.61336,C3_33,0.041
,,1.65464,C5_32,0.047
,,1.688,C5_43,0.022
,,1.70016,C1_43,0.022
,,1.70176,C5_32,0.042
,,1.7164,C5_42,0.035
,,1.72704,C6_22,0.021
,,1.74048,C2_32,0.019
,,1.8264,C2_33,0.025
,,1.83696,C2_41,0.01
,,1.85952,C2_33,0.029
,,1.88928,C3_33,0.039
,,1.90768,C5_32,0.047
,,1.92008,C2_23,0.021
,,1.98184,C2_23,0.028
,,1.98784,C5_42,0.021
,,1.98856,C5_43,0.023
,,2.00592,C1_43,0.031
,,2.01656,C5_42,0.038
,,2.02272,C5_43,0.069
,,2.10296,C1_33,0.017
,,2.10896,C5_42,0.057
,,2.132,C6_22,0.019
,,2.16248,C3_33,0.043
,,2.16464,C6_22,0.026
,,2.17944,C5_32,0.04
,,2.22456,C3_42,0.02
,,2.25256,C5_42,0.031
,,2.25592,C2_23,0.036
,,2.26624,C1_43,0.02
,,2.2716,C5_43,0.022
,,2.28992,C5_42,0.029
,,2.32096,C5_43,0.023
,,2.39488,C2_23,0.025
,,2.4092,C5_42,0.045
,,2.40976,C5_32,0.042
,,2.42264,C2_23,0.019
,,2.44864,C1_33,0.019
,,2.4608,C5_43,0.06
,,2.4992,C1_43,0.024
,,2.5192,C5_42,0.04
,,2.58304,C2_33,0.023
,,2.61432,C5_32,0.044
,,2.64672,C2_23,0.024
,,2.6924,C3_33,0.043
,,2.7492,C2_23,0.031
,,2.75352,C6_22,0.023
,,2.79776,C1_43,0.02
,,2.87632,C5_32,0.03
,,2.92904,C5_32,0.074
,,2.94112,C5_42,0.031
,,2.94448,C5_43,0.026
,,2.9824,C5_43,0.023
,,3.01904,C1_43,0.021
,,3.02144,C2_23,0.03
,,3.04576,C5_32,0.039
,,3.0576,C1_43,0.024
,,3.0732,C5_42,0.033
,,3.09704,C5_42,0.031
,,3.10032,C6_22,0.022
,,3.13064,C1_43,0.023
,,3.18104,C2_23,0.03
,,3.19784,C5_42,0.027
,,3.21872,C1_43,0.019
,,3.22496,C2_23,0.019
,,3.27864,C5_43,0.025
,,3.27984,C1_22,0.023
,,3.2888,C2_23,0.032
,,3.29224,C5_32,0.04
