Investigator,Ghislaine,,,,Time (s),Electrode,Amplitude(mV)
Recording Name,SNCA Trip Quinpirole,,,,0.15232,C2_12,0.016
Description,,,,,0.16592,C1_34,0.021
Maestro Edge Settings,,,,,0.24488,C3_33,0.017
   Original File Time,09/29/2021 11:19:00,,,,0.25904,C3_32,0.028
   Sampling Frequency,12.5 kHz,,,,0.26112,C3_43,0.017
   Voltage Scale,-5.48486178148311E-08 V/sample,,,,0.26136,C3_32,0.017
   Experiment Start Time,09/29/2021 11:18:53,,,,0.26144,C5_13,0.029
   Referencing Method,Median,,,,0.27416,C3_32,0.027
   Analog Mode Setting,Neural Spikes,,,,0.27432,C3_33,0.015
   Plate Type,CytoView MEA 24,,,,0.27496,C3_44,0.018
   Digital Low Pass Filter,3 kHz Kaiser Window,,,,0.27824,C3_33,0.028
   Digital High Pass Filter,200 Hz IIR,,,,0.2784,C3_32,0.027
   Temperature Set Point,37.0 Degrees C,,,,0.28712,C3_32,0.017
   Current Temperature,37.0 Degrees C,,,,0.2888,C3_33,0.015
   Heater Power,On,,,,0.29184,C3_43,0.018
   Barcode Plate Type,TwentyFourWell,,,,0.29208,C3_32,0.024
   Plate Serial Number,85-4912,,,,0.29216,C3_42,0.015
   CO2 Conc. Set Point,5.00%,,,,0.29216,C3_44,0.068
   Actual CO2 Conc.,5.00%,,,,0.29424,C3_33,0.024
   Gas Mixer Status,Regulating,,,,0.2944,C3_43,0.023
   AxIS Version,1.5.1.12,,,,0.31816,C3_42,0.018
   Maestro Edge Firmware,1.5.1.12,,,,0.33528,C3_41,0.008
   Maestro Edge BioCore Version,4B,,,,0.3356,C3_42,0.047
,,,,,0.34896,C3_44,0.018
Spike Detector Settings,,,,,0.3496,C3_33,0.016
   Method,Adaptive Threshold Crossing,,,,0.36368,C3_43,0.015
   Threshold,6,,,,0.39992,C3_32,0.02
   Threshold Status,Variable,,,,0.40064,C3_43,0.159
   Threshold Crossing Only,TRUE,,,,0.40416,C3_43,0.021
   Pre-Spike Duration,0.84 ms,,,,0.40728,C3_44,0.062
   Post-Spike Duration,2.16 ms,,,,0.4088,C3_43,0.084
   Coincident Event Filter,Default (Well),,,,0.40944,C3_33,0.015
   Coincidence Occurrence Threshold,4 Electrodes,,,,0.41112,C1_34,0.013
   Coincidence Event Window,160 µs,,,,0.4264,C3_44,0.017
   Allow Sample Overlap,FALSE,,,,0.42784,C3_31,0.02
   Spike Count Interval,1 s,,,,0.46152,C3_33,0.063
,,,,,0.46176,C3_43,0.061
,,,,,0.46208,C3_32,0.033
,,,,,0.66904,C2_31,0.039
,,,,,0.708,C3_43,0.017
,,,,,0.71168,C3_33,0.028
,,,,,0.71192,C3_32,0.032
,,,,,0.7272,C3_33,0.023
,,,,,0.72936,C3_44,0.019
,,,,,0.72968,C3_33,0.015
,,,,,0.76928,C3_32,0.016
,,,,,0.77792,C1_34,0.015
,,,,,0.88504,C3_33,0.041
,,,,,0.88552,C3_43,0.043
,,,,,0.88728,C3_33,0.036
,,,,,0.88744,C3_32,0.029
,,,,,0.88776,C3_43,0.042
,,,,,0.88784,C3_42,0.023
,,,,,0.88856,C3_41,0.009
,,,,,0.89632,C3_33,0.031
,,,,,0.89672,C3_31,0.03
,,,,,0.8968,C3_43,0.06
,,,,,0.89816,C3_42,0.023
,,,,,0.90736,C3_31,0.032
,,,,,0.9236,C3_44,0.066
,,,,,0.93712,C2_22,0.028
,,,,,1.0092,C4_32,0.022
,,,,,1.07224,C1_34,0.014
,,,,,1.11664,C3_33,0.016
,,,,,1.12584,C3_44,0.021
,,,,,1.13792,C3_32,0.02
,,,,,1.16712,C3_32,0.017
,,,,,1.18224,C3_31,0.017
,,,,,1.19872,C3_33,0.015
,,,,,1.19896,C3_32,0.019
,,,,,1.20584,C5_13,0.032
,,,,,1.23744,C3_33,0.014
,,,,,1.24488,C5_32,0.019
,,,,,1.26,C5_32,0.021
,,,,,1.27424,C3_31,0.016
,,,,,1.28872,C5_32,0.021
,,,,,1.3184,C5_44,0.021
,,,,,1.32944,C3_43,0.062
,,,,,1.32952,C3_33,0.058
,,,,,1.33008,C3_32,0.035
,,,,,1.34432,C5_14,0.014
,,,,,1.35544,C5_14,0.018
,,,,,1.36384,C5_13,0.017
,,,,,1.37568,C5_44,0.017
,,,,,1.45192,C5_44,0.018
,,,,,1.47144,C1_34,0.016
,,,,,1.5884,C3_33,0.02
,,,,,1.63216,C3_44,0.071
,,,,,1.63928,C2_12,0.017
,,,,,1.65816,C3_32,0.028
,,,,,1.68712,C5_23,0.019
,,,,,1.80248,C5_13,0.02
,,,,,1.91352,C3_44,0.018
,,,,,2.04256,C3_43,0.162
,,,,,2.04568,C3_43,0.015
,,,,,2.04944,C3_44,0.063
,,,,,2.05112,C3_43,0.086
,,,,,2.05168,C3_33,0.019
,,,,,2.2576,C3_31,0.016
,,,,,2.32344,C3_43,0.018
,,,,,2.346,C3_32,0.016
,,,,,2.35088,C3_43,0.015
,,,,,2.3676,C3_33,0.016
,,,,,2.40472,C3_32,0.017
,,,,,2.40864,C3_32,0.018
,,,,,2.41968,C3_33,0.013
,,,,,2.44168,C3_43,0.018
,,,,,2.46664,C3_31,0.013
,,,,,2.48704,C3_32,0.033
,,,,,2.56112,C3_33,0.066
,,,,,2.56136,C3_43,0.061
,,,,,2.56168,C3_32,0.038
,,,,,2.58688,C5_13,0.014
,,,,,2.92392,C2_31,0.038
,,,,,3.0024,C6_24,0.027
,,,,,3.12504,C6_24,0.028
,,,,,3.13392,C5_14,0.015
,,,,,3.27264,C5_44,0.021
,,,,,3.45296,C6_24,0.026
,,,,,3.6428,C6_24,0.023
,,,,,3.79048,C2_22,0.017
,,,,,3.90112,C6_33,0.021
,,,,,4.00632,C6_24,0.028
,,,,,4.36248,C2_12,0.019
,,,,,4.70368,C6_33,0.023
,,,,,4.82464,C1_22,0.016
,,,,,4.92136,C6_24,0.029
,,,,,5.9224,C4_11,0.034
,,,,,5.99912,C3_33,0.014
,,,,,6.18208,C2_34,0.022
,,,,,6.54112,C3_31,0.016
,,,,,6.6132,C5_13,0.03
,,,,,6.76384,C3_31,0.015
,,,,,6.84624,C3_31,0.015
,,,,,6.86304,C2_22,0.019
,,,,,7.07256,C3_31,0.017
,,,,,7.15088,C5_13,0.031
,,,,,7.19248,C5_32,0.02
,,,,,7.19264,C5_14,0.021
,,,,,7.19656,C5_32,0.033
,,,,,7.2608,C5_14,0.018
,,,,,7.28832,C4_12,0.016
,,,,,7.56384,C2_23,0.084
,,,,,7.56392,C2_12,0.034
,,,,,7.56416,C2_13,0.028
,,,,,7.56456,C2_22,0.039
,,,,,7.56776,C2_23,0.042
,,,,,7.6212,C2_23,0.046
,,,,,7.62616,C2_12,0.042
,,,,,7.6268,C2_23,0.081
,,,,,7.6272,C2_13,0.028
,,,,,7.62752,C2_22,0.04
,,,,,7.66104,C2_23,0.024
,,,,,7.75328,C2_23,0.029
,,,,,7.85976,C4_32,0.021
,,,,,8.05936,C5_13,0.026
,,,,,8.12456,C5_44,0.019
,,,,,8.40016,C2_12,0.015
,,,,,8.7856,C3_33,0.02
,,,,,8.9204,C6_12,0.034
,,,,,9.08968,C2_32,0.019
,,,,,9.12352,C2_22,0.019
,,,,,9.31736,C4_43,0.044
,,,,,9.66016,C3_33,0.013
,,,,,9.90984,C6_11,0.03
,,,,,10.02512,C2_31,0.036
,,,,,10.05904,C3_33,0.015
,,,,,10.43376,C4_43,0.056
,,,,,10.46528,C4_32,0.019
,,,,,10.52328,C5_13,0.019
,,,,,10.7408,C6_11,0.023
,,,,,10.86296,C6_11,0.027
,,,,,10.9604,C3_42,0.02
,,,,,10.97496,C3_43,0.039
,,,,,10.97608,C3_44,0.077
,,,,,10.9812,C3_32,0.03
,,,,,10.98208,C3_42,0.051
,,,,,10.9824,C3_33,0.02
,,,,,10.9832,C3_44,0.024
,,,,,10.98992,C3_33,0.017
,,,,,11.00176,C3_31,0.023
,,,,,11.01024,C3_32,0.014
,,,,,11.01448,C3_44,0.066
,,,,,11.01624,C3_43,0.087
,,,,,11.0168,C3_33,0.031
,,,,,11.01776,C3_31,0.021
,,,,,11.0188,C3_41,0.011
,,,,,11.0192,C3_33,0.037
,,,,,11.01936,C3_43,0.054
,,,,,11.0196,C3_32,0.026
,,,,,11.01984,C3_42,0.056
,,,,,11.022,C3_41,0.009
,,,,,11.02392,C3_44,0.085
,,,,,11.02408,C3_42,0.053
,,,,,11.02448,C3_32,0.047
,,,,,11.02496,C3_33,0.053
,,,,,11.02528,C3_43,0.066
,,,,,11.02656,C3_42,0.027
,,,,,11.02688,C3_32,0.032
,,,,,11.02744,C3_33,0.016
,,,,,11.02896,C3_42,0.028
,,,,,11.0292,C3_44,0.039
,,,,,11.02936,C3_43,0.068
,,,,,11.02968,C3_33,0.032
,,,,,11.03008,C3_32,0.035
,,,,,11.0312,C3_31,0.037
,,,,,11.032,C3_33,0.049
,,,,,11.03288,C3_42,0.034
,,,,,11.03312,C3_32,0.036
,,,,,11.03344,C3_43,0.069
,,,,,11.03424,C3_33,0.038
,,,,,11.03432,C3_31,0.021
,,,,,11.03456,C3_41,0.022
,,,,,11.03512,C3_42,0.029
,,,,,11.036,C3_32,0.042
,,,,,11.03616,C3_44,0.033
,,,,,11.03656,C3_43,0.037
,,,,,11.03664,C3_31,0.021
,,,,,11.03664,C3_33,0.022
