Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,SNCA Trip Quinpirole,0.0052,C3_43,0.03
Description,,0.00736,C2_33,0.043
Maestro Edge Settings,,0.00792,C2_23,0.037
   Original File Time,08/21/2023 12:08:49,0.00816,C3_33,0.044
   Sampling Frequency,12.5 kHz,0.00912,C1_42,0.059
   Voltage Scale,-5.48486178148311E-08 V/sample,0.01032,C1_11,0.033
   Experiment Start Time,08/21/2023 12:08:40,0.0156,C5_31,0.027
   Referencing Method,Median,0.01624,C2_23,0.046
   Analog Mode Setting,Neural Spikes,0.02568,C3_42,0.035
   Plate Type,CytoView MEA 24,0.0284,C2_23,0.02
   Digital Low Pass Filter,3 kHz Kaiser Window,0.03248,C5_33,0.021
   Digital High Pass Filter,200 Hz IIR,0.03288,C1_22,0.049
   Temperature Set Point,37.0 Degrees C,0.03944,C2_31,0.066
   Current Temperature,37.0 Degrees C,0.04456,C1_22,0.066
   Heater Power,On,0.04496,C5_32,0.022
   Barcode Plate Type,TwentyFourWell,0.04568,C1_21,0.041
   Plate Serial Number,111-1412,0.054,C3_33,0.046
   CO2 Conc. Set Point,5.00%,0.05496,C3_32,0.059
   Actual CO2 Conc.,5.80%,0.05968,C3_32,0.036
   Gas Mixer Status,Regulating,0.06136,C4_12,0.017
   AxIS Version,1.5.1.12,0.072,C6_42,0.03
   Maestro Edge Firmware,1.5.1.12,0.07408,C1_22,0.03
   Maestro Edge BioCore Version,4B,0.07504,C2_22,0.035
,,0.07912,C3_31,0.027
Spike Detector Settings,,0.0824,C4_33,0.032
   Method,Adaptive Threshold Crossing,0.08744,C2_31,0.05
   Threshold,6,0.08824,C4_33,0.033
   Threshold Status,Variable,0.08984,C5_33,0.019
   Threshold Crossing Only,TRUE,0.09208,C2_31,0.051
   Pre-Spike Duration,0.84 ms,0.09488,C2_31,0.077
   Post-Spike Duration,2.16 ms,0.09688,C3_32,0.042
   Coincident Event Filter,Default (Well),0.102,C2_23,0.024
   Coincidence Occurrence Threshold,4 Electrodes,0.1024,C1_22,0.041
   Coincidence Event Window,160 µs,0.10616,C2_23,0.053
   Allow Sample Overlap,FALSE,0.10696,C2_33,0.039
   Spike Count Interval,1 s,0.11072,C1_11,0.023
,,0.1172,C1_11,0.037
,,0.12128,C2_22,0.036
,,0.12248,C4_24,0.055
,,0.12712,C2_33,0.033
,,0.13264,C2_31,0.048
,,0.13296,C4_21,0.029
,,0.1408,C2_33,0.068
,,0.14312,C2_31,0.043
,,0.14384,C3_32,0.115
,,0.14408,C2_33,0.05
,,0.1524,C2_31,0.027
,,0.15336,C4_33,0.052
,,0.15528,C2_31,0.037
,,0.15544,C3_42,0.027
,,0.16096,C2_22,0.033
,,0.168,C2_33,0.045
,,0.1692,C4_33,0.034
,,0.17192,C2_32,0.032
,,0.17408,C2_42,0.04
,,0.17456,C1_11,0.025
,,0.17456,C2_32,0.034
,,0.17872,C3_33,0.041
,,0.17904,C1_43,0.032
,,0.18024,C2_22,0.038
,,0.18432,C1_31,0.032
,,0.18544,C4_33,0.082
,,0.18816,C5_33,0.021
,,0.20096,C6_11,0.022
,,0.20312,C3_33,0.054
,,0.20648,C2_32,0.028
,,0.20688,C1_11,0.034
,,0.20816,C1_42,0.035
,,0.21184,C3_31,0.025
,,0.21688,C3_43,0.044
,,0.22496,C1_22,0.044
,,0.22504,C3_33,0.039
,,0.23,C1_31,0.031
,,0.23256,C3_33,0.038
,,0.23864,C1_31,0.032
,,0.23896,C3_32,0.044
,,0.23928,C3_42,0.076
,,0.2404,C1_21,0.039
,,0.24216,C3_32,0.029
