Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
Recording Name,IsoCTL TBZ,,0.0536,B1_42,0.013
Description,Wells D1-D6 are untreated hMOs. Wells B1-B6 are TBZ treated hMOs,,0.066,B5_13,0.014
Maestro Edge Settings,,,0.06672,B5_21,0.016
   Original File Time,04/19/2024 12:14:43,,0.09184,B4_44,0.017
   Sampling Frequency,12.5 kHz,,0.09648,B1_44,0.022
   Voltage Scale,-5.48486178148311E-08 V/sample,,0.18392,B4_22,0.016
   Experiment Start Time,04/19/2024 12:14:36,,0.1844,B4_43,0.028
   Referencing Method,Median,,0.24568,D5_22,0.029
   Analog Mode Setting,Neural Spikes,,0.24736,D5_12,0.015
   Plate Type,CytoView MEA 24,,0.25104,B1_44,0.02
   Digital Low Pass Filter,3 kHz Kaiser Window,,0.25104,D5_44,0.023
   Digital High Pass Filter,200 Hz IIR,,0.28152,B1_32,0.014
   Temperature Set Point,37.0 Degrees C,,0.33352,D4_14,0.012
   Current Temperature,36.8 Degrees C,,0.33408,B4_42,0.013
   Heater Power,On,,0.36688,B1_44,0.02
   Barcode Plate Type,TwentyFourWell,,0.37192,B1_22,0.018
   Plate Serial Number,111-1470,,0.37328,B1_44,0.015
   CO2 Conc. Set Point,5.00%,,0.3996,B5_24,0.015
   Actual CO2 Conc.,4.00%,,0.43848,D5_44,0.015
   Gas Mixer Status,Regulating,,0.44744,B1_42,0.021
   AxIS Version,1.5.1.12,,0.46456,B3_14,0.013
   Maestro Edge Firmware,1.5.1.12,,0.48984,D4_23,0.013
   Maestro Edge BioCore Version,4B,,0.57392,B4_44,0.017
,,,0.61128,D5_41,0.01
Spike Detector Settings,,,0.79592,B4_43,0.012
   Method,Adaptive Threshold Crossing,,0.83296,B1_42,0.018
   Threshold,6,,0.84432,B4_22,0.02
   Threshold Status,Variable,,0.86296,B2_43,0.015
   Threshold Crossing Only,TRUE,,0.87504,D3_34,0.025
   Pre-Spike Duration,0.84 ms,,0.87528,B4_42,0.014
   Post-Spike Duration,2.16 ms,,0.87528,D3_44,0.036
   Coincident Event Filter,Default (Well),,0.88192,D3_34,0.011
   Coincidence Occurrence Threshold,4 Electrodes,,0.88688,B1_24,0.012
   Coincidence Event Window,160 µs,,0.90944,D3_34,0.019
   Allow Sample Overlap,FALSE,,0.94912,B4_43,0.028
   Spike Count Interval,1 s,,0.9504,B4_34,0.016
,,,1.04848,D4_14,0.014
,,,1.09016,D5_31,0.029
,,,1.09632,B1_43,0.014
,,,1.09656,B1_33,0.019
,,,1.10888,B4_44,0.017
,,,1.19344,B1_42,0.019
,,,1.23416,D6_13,0.017
,,,1.27008,D3_23,0.017
,,,1.38,D5_11,0.016
,,,1.40528,B5_13,0.016
,,,1.40584,B5_22,0.014
,,,1.40592,D5_44,0.016
,,,1.406,B5_21,0.016
,,,1.44056,D3_31,0.014
,,,1.47808,D4_14,0.014
,,,1.51176,D5_24,0.035
,,,1.5356,D3_43,0.018
,,,1.536,D3_33,0.013
,,,1.57648,D3_32,0.015
,,,1.62408,B1_42,0.022
,,,1.6296,B6_43,0.023
,,,1.6908,B3_13,0.018
,,,1.74568,B4_44,0.015
,,,1.78392,D5_22,0.033
,,,1.78912,D5_44,0.023
,,,1.79104,B1_42,0.012
,,,1.79976,B5_23,0.023
,,,1.81208,B1_24,0.014
,,,1.8408,D3_42,0.014
,,,1.84192,D3_31,0.018
,,,1.91952,B5_24,0.017
,,,1.95952,D4_23,0.016
,,,2.14792,B1_42,0.02
,,,2.3056,B5_41,0.01
,,,2.3092,D2_42,0.025
,,,2.41776,B2_11,0.015
,,,2.46096,B1_42,0.021
,,,2.48976,B4_44,0.016
,,,2.55568,B4_33,0.014
,,,2.57992,B1_24,0.015
,,,2.77272,B3_23,0.026
,,,2.79648,B3_21,0.014
,,,2.79696,B3_11,0.022
,,,2.80072,B3_31,0.016
,,,2.80168,B3_44,0.035
,,,2.80192,B3_24,0.017
