Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,IsoCTL TBZ+Quinpirole,0.0028,B2_42,0.016
Description,Tetrabenzine hMOs treated with Quinpirole,0.00664,B2_12,0.023
Maestro Edge Settings,,0.01328,B2_13,0.011
   Original File Time,04/19/2024 12:35:16,0.01432,B2_42,0.051
   Sampling Frequency,12.5 kHz,0.03536,B1_24,0.03
   Voltage Scale,-5.48486178148311E-08 V/sample,0.06672,B4_24,0.031
   Experiment Start Time,04/19/2024 12:28:52,0.07,B2_31,0.018
   Referencing Method,Median,0.07048,B2_32,0.019
   Analog Mode Setting,Neural Spikes,0.08512,B2_22,0.035
   Plate Type,CytoView MEA 24,0.12672,B2_22,0.025
   Digital Low Pass Filter,3 kHz Kaiser Window,0.15248,B5_23,0.029
   Digital High Pass Filter,200 Hz IIR,0.16696,B2_43,0.012
   Temperature Set Point,37.0 Degrees C,0.17856,B5_23,0.022
   Current Temperature,37.0 Degrees C,0.2172,B5_23,0.023
   Heater Power,On,0.21768,B2_42,0.019
   Barcode Plate Type,TwentyFourWell,0.22792,B4_43,0.021
   Plate Serial Number,111-1470,0.24624,B6_43,0.029
   CO2 Conc. Set Point,5.00%,0.24768,B5_24,0.015
   Actual CO2 Conc.,3.90%,0.28744,B2_12,0.019
   Gas Mixer Status,Regulating,0.29752,B1_23,0.022
   AxIS Version,1.5.1.12,0.3272,B4_34,0.017
   Maestro Edge Firmware,1.5.1.12,0.40328,B6_33,0.015
   Maestro Edge BioCore Version,4B,0.40472,B3_44,0.047
,,0.40488,B3_32,0.019
Spike Detector Settings,,0.40512,B3_31,0.027
   Method,Adaptive Threshold Crossing,0.43648,B4_34,0.033
   Threshold,6,0.484,B6_43,0.017
   Threshold Status,Variable,0.52656,B2_44,0.024
   Threshold Crossing Only,TRUE,0.54536,B2_43,0.02
   Pre-Spike Duration,0.84 ms,0.56,B5_24,0.017
   Post-Spike Duration,2.16 ms,0.56544,B2_11,0.054
   Coincident Event Filter,Default (Well),0.65704,B4_43,0.017
   Coincidence Occurrence Threshold,4 Electrodes,0.67048,B2_44,0.043
   Coincidence Event Window,160 µs,0.67576,B2_44,0.037
   Allow Sample Overlap,FALSE,0.73864,B3_31,0.02
   Spike Count Interval,1 s,0.74792,B1_12,0.014
,,0.75424,B1_23,0.023
,,0.8176,B2_43,0.037
,,0.818,B2_32,0.026
,,0.81856,B2_22,0.013
,,0.81888,B2_11,0.024
,,0.82072,B2_34,0.035
,,0.82456,B2_43,0.016
,,0.82568,B2_24,0.008
,,0.82728,B2_42,0.018
,,0.83072,B2_42,0.021
,,0.8312,B2_32,0.029
,,0.83224,B2_43,0.047
,,0.8368,B2_22,0.014
,,0.83712,B2_31,0.018
,,0.83744,B2_42,0.028
,,0.83848,B2_21,0.034
,,0.83856,B2_43,0.023
,,0.83904,B2_33,0.02
,,0.83912,B2_23,0.011
,,0.83912,B2_34,0.016
,,0.8396,B2_41,0.009
,,0.84032,B2_31,0.02
,,0.84112,B2_42,0.026
,,0.84184,B2_21,0.039
,,0.84352,B2_44,0.041
,,0.84376,B2_31,0.026
,,0.84384,B4_12,0.026
,,0.84464,B2_21,0.044
,,0.84736,B2_43,0.024
,,0.84776,B2_11,0.012
,,0.848,B2_21,0.031
,,0.84928,B2_42,0.046
,,0.85224,B2_42,0.018
,,0.85264,B2_24,0.015
,,0.85312,B2_34,0.014
,,0.85392,B2_21,0.02
,,0.85832,B4_33,0.033
,,0.87304,B2_21,0.016
,,0.878,B1_24,0.032
,,0.87832,B2_42,0.016
,,0.87856,B2_31,0.049
,,0.88,B2_32,0.04
,,0.88256,B2_34,0.02
,,0.88272,B2_31,0.013
,,0.88304,B2_21,0.024
,,0.8864,B2_32,0.016
,,0.89,B2_42,0.017
,,0.89264,B2_43,0.027
,,0.8928,B2_12,0.013
,,0.89288,B2_42,0.019
,,0.8968,B2_42,0.015
,,0.89792,B2_21,0.024
,,0.90184,B2_21,0.022
,,0.908,B4_42,0.019
,,0.96824,B2_21,0.015
,,0.97656,B2_43,0.035
,,0.9772,B2_32,0.022
,,0.97752,B2_22,0.013
,,0.97768,B2_11,0.03
,,0.98008,B2_34,0.034
,,0.98744,B2_22,0.016
,,1.0004,B4_44,0.017
,,1.01136,B4_42,0.018
,,1.04424,B2_34,0.026
,,1.07096,B2_34,0.018
,,1.07224,B5_44,0.013
,,1.07448,B2_42,0.023
,,1.07904,B3_43,0.03
,,1.0792,B2_44,0.046
,,1.08,B2_31,0.028
,,1.08072,B2_11,0.028
,,1.08088,B6_43,0.034
,,1.08224,B2_22,0.013
,,1.09104,B2_11,0.049
,,1.10832,B2_32,0.015
,,1.11496,B2_12,0.015
,,1.14112,B4_24,0.016
,,1.15392,B2_12,0.013
,,1.15536,B1_34,0.013
,,1.20064,B2_12,0.015
,,1.20696,B2_24,0.012
,,1.21112,B2_31,0.064
,,1.21176,B2_32,0.02
,,1.21336,B2_21,0.023
,,1.21912,B2_11,0.015
,,1.22008,B2_32,0.016
,,1.23944,B5_11,0.023
,,1.24552,B2_31,0.017
,,1.246,B2_42,0.018
,,1.24664,B2_43,0.02
,,1.24704,B2_21,0.045
,,1.24816,B2_12,0.018
,,1.24856,B2_42,0.014
,,1.2504,B2_21,0.043
,,1.25184,B1_23,0.017
,,1.25264,B2_21,0.044
,,1.2528,B2_42,0.049
,,1.25344,B2_12,0.02
,,1.25456,B2_32,0.014
,,1.25576,B2_43,0.024
,,1.25864,B2_21,0.025
,,1.26096,B2_42,0.025
,,1.26112,B2_31,0.019
,,1.26136,B2_33,0.014
,,1.26152,B2_43,0.021
,,1.26152,B2_44,0.054
,,1.26184,B2_21,0.029
,,1.26264,B2_24,0.013
,,1.26584,B2_21,0.036
,,1.26616,B2_42,0.031
,,1.27056,B2_42,0.038
,,1.27432,B2_42,0.029
,,1.2748,B6_43,0.017
,,1.27704,B2_21,0.024
,,1.27864,B2_43,0.02
,,1.28048,B2_42,0.021
,,1.30888,B5_44,0.018
,,1.32136,B2_13,0.01
,,1.34328,B2_12,0.015
,,1.35448,B2_32,0.014
,,1.35512,B2_31,0.02
,,1.35784,B2_21,0.044
,,1.36256,B2_42,0.035
,,1.37288,B2_42,0.019
,,1.39824,B2_21,0.034
,,1.40256,B2_43,0.044
,,1.40328,B2_32,0.027
,,1.4036,B2_22,0.016
,,1.40392,B2_11,0.027
,,1.40528,B2_34,0.038
,,1.41232,B2_11,0.023
,,1.41312,B2_31,0.025
,,1.41312,B2_42,0.034
,,1.41376,B4_13,0.022
,,1.41672,B6_32,0.015
,,1.41896,B3_14,0.016
,,1.42168,B2_42,0.016
,,1.4244,B2_32,0.014
,,1.42568,B2_21,0.04
,,1.43336,B2_42,0.049
,,1.4604,B2_42,0.029
,,1.46272,B2_21,0.029
,,1.46512,B2_21,0.033
,,1.46856,B2_43,0.023
,,1.47952,B2_24,0.014
,,1.48528,B4_13,0.019
,,1.49248,B6_43,0.032
,,1.51664,B2_21,0.026
,,1.52648,B4_42,0.012
,,1.55144,B4_13,0.016
,,1.58376,B5_23,0.025
,,1.61224,B2_43,0.022
,,1.6144,B5_23,0.021
,,1.61912,B4_13,0.019
,,1.6228,B3_21,0.021
,,1.6852,B2_12,0.029
,,1.68528,B4_24,0.016
,,1.69064,B2_21,0.014
,,1.70632,B2_21,0.044
,,1.73088,B1_24,0.034
,,1.80488,B4_13,0.013
,,1.82688,B4_42,0.013
,,1.852,B6_43,0.017
,,1.85328,B5_11,0.021
,,1.87088,B2_34,0.016
,,1.914,B5_11,0.024
,,1.924,B5_44,0.013
,,1.97448,B5_24,0.015
,,1.97728,B4_34,0.03
,,1.986,B5_11,0.018
,,1.99864,B5_24,0.018
,,2.09344,B5_11,0.019
,,2.12616,B5_42,0.012
,,2.16464,B5_23,0.023
,,2.18624,B2_43,0.028
,,2.18672,B2_32,0.035
,,2.18728,B2_21,0.016
,,2.21632,B5_23,0.014
,,2.27824,B2_34,0.029
,,2.29336,B6_43,0.02
,,2.30984,B2_11,0.018
,,2.31304,B2_32,0.014
,,2.33208,B2_11,0.015
,,2.33864,B2_13,0.012
,,2.398,B2_34,0.021
,,2.39896,B2_43,0.017
,,2.40272,B2_21,0.015
,,2.44168,B1_24,0.033
,,2.50696,B2_42,0.05
,,2.5828,B4_42,0.017
,,2.63928,B2_31,0.017
,,2.63976,B2_32,0.015
,,2.64312,B2_12,0.014
,,2.65496,B5_44,0.011
,,2.69336,B4_33,0.021
,,2.70168,B2_34,0.026
,,2.7028,B2_24,0.01
,,2.73032,B2_42,0.015
,,2.73512,B2_32,0.03
,,2.73616,B2_43,0.045
,,2.80096,B2_43,0.037
,,2.80136,B2_32,0.028
,,2.80208,B2_11,0.028
,,2.8044,B2_34,0.036
,,2.80976,B2_12,0.029
,,2.81144,B2_21,0.014
,,2.8156,B2_22,0.016
,,2.84176,B2_12,0.014
,,2.93256,B4_43,0.025
,,2.93696,B5_23,0.029
,,2.9384,B5_44,0.015
,,3.07944,B5_14,0.016
,,3.08416,B2_11,0.015
,,3.13552,B1_24,0.032
,,3.1408,B5_42,0.01
,,3.20192,B1_42,0.016
,,3.20784,B3_34,0.016
,,3.21328,B4_33,0.016
,,3.21952,B5_24,0.012
,,3.27376,B5_24,0.015
,,3.29632,B5_44,0.018
,,3.30256,B2_42,0.049
,,3.33672,B5_11,0.016
,,3.35816,B2_31,0.017
,,3.35864,B2_32,0.018
,,3.43112,B5_11,0.023
,,3.46616,B4_44,0.017
,,3.47528,B4_43,0.02
,,3.49216,B5_11,0.022
,,3.53808,B2_22,0.014
,,3.57472,B5_11,0.019
,,3.59224,B2_13,0.01
,,3.63192,B6_43,0.015
,,3.64096,B4_44,0.017
,,3.646,B2_43,0.017
,,3.64784,B4_12,0.024
,,3.67672,B4_42,0.014
,,3.68384,B5_23,0.022
,,3.70304,B5_44,0.019
,,3.7148,B5_11,0.018
,,3.83184,B2_43,0.026
,,3.83216,B2_32,0.033
,,3.83288,B2_21,0.015
,,3.84936,B1_24,0.03
,,3.88776,B4_43,0.016
,,3.89528,B1_12,0.015
,,3.9224,B5_11,0.021
,,3.9824,B2_21,0.021
,,4.07776,B4_33,0.016
,,4.08328,B5_44,0.016
,,4.1048,B5_24,0.018
,,4.11224,B4_42,0.02
,,4.32056,B2_42,0.013
,,4.33112,B2_13,0.011
,,4.33968,B4_44,0.017
,,4.34024,B2_34,0.028
,,4.34872,B5_44,0.017
,,4.35648,B2_42,0.049
,,4.3704,B6_31,0.014
,,4.41984,B4_33,0.017
,,4.55288,B4_13,0.014
,,4.626,B1_24,0.032
,,4.69896,B2_31,0.015
,,4.69944,B2_32,0.019
,,4.7244,B3_31,0.042
,,4.72488,B5_11,0.023
,,4.7968,B5_11,0.025
,,4.82848,B5_13,0.014
,,4.82864,B5_23,0.019
,,4.82912,B5_21,0.016
,,4.83,B5_11,0.016
,,4.85144,B2_21,0.016
,,4.862,B6_43,0.033
,,4.87424,B5_11,0.016
,,4.87664,B2_44,0.044
,,4.88192,B2_44,0.041
,,4.90296,B4_43,0.019
,,4.9268,B2_12,0.019
,,4.99504,B2_44,0.019
,,5.0064,B2_12,0.022
,,5.0452,B5_13,0.017
,,5.04528,B5_23,0.018
,,5.04552,B5_22,0.017
,,5.04592,B5_21,0.018
,,5.0612,B5_14,0.014
,,5.08144,B4_22,0.018
,,5.08184,B4_43,0.03
,,5.08304,B4_34,0.02
,,5.11496,B2_11,0.056
,,5.11576,B5_23,0.03
,,5.14144,B5_23,0.023
,,5.16184,B2_34,0.023
,,5.16544,B2_11,0.019
,,5.16648,B2_32,0.014
,,5.1676,B4_43,0.019
,,5.16784,B2_42,0.025
,,5.16872,B2_32,0.017
,,5.16896,B2_43,0.049
,,5.16904,B2_33,0.019
,,5.18264,B2_31,0.015
,,5.24208,B2_12,0.016
,,5.25408,B3_44,0.05
,,5.3224,B4_34,0.026
,,5.33856,B4_43,0.029
,,5.38624,B2_43,0.04
,,5.38664,B2_32,0.031
,,5.3872,B2_22,0.016
,,5.38752,B2_34,0.035
,,5.3876,B2_11,0.024
,,5.41496,B1_24,0.029
,,5.45552,B2_42,0.021
,,5.45752,B2_44,0.022
,,5.46832,B2_43,0.027
,,5.46864,B2_32,0.035
,,5.46936,B2_21,0.016
,,5.49248,B6_43,0.013
,,5.5476,B2_31,0.017
,,5.54768,B4_43,0.016
,,5.59368,B5_11,0.014
,,5.60088,B6_22,0.021
,,5.60536,B4_42,0.017
,,5.60984,B3_23,0.014
,,5.65072,B6_22,0.018
,,5.65808,B2_42,0.023
,,5.65944,B2_21,0.034
,,5.65992,B2_22,0.012
,,5.66208,B2_21,0.045
,,5.66352,B2_43,0.023
,,5.6704,B2_22,0.014
,,5.688,B6_22,0.016
,,5.69368,B5_11,0.013
,,5.744,B2_42,0.016
,,5.74504,B6_43,0.034
,,5.75456,B2_13,0.012
,,5.76904,B2_34,0.027
,,5.77632,B4_44,0.016
,,5.79424,B2_24,0.014
,,5.79464,B2_34,0.013
,,5.82456,B2_43,0.015
,,5.90496,B1_43,0.027
,,5.9168,B2_44,0.021
,,5.9756,B1_23,0.023
,,6.01984,B4_43,0.019
,,6.04176,B2_31,0.018
,,6.04224,B2_32,0.018
,,6.0432,B2_43,0.019
,,6.04584,B5_44,0.015
,,6.05408,B4_24,0.015
,,6.13792,B5_11,0.016
,,6.14016,B6_43,0.015
,,6.22288,B1_24,0.03
,,6.24312,B5_24,0.015
,,6.24424,B5_43,0.014
,,6.25464,B2_21,0.029
,,6.2588,B2_43,0.039
,,6.2592,B2_32,0.028
,,6.25936,B5_24,0.019
,,6.25976,B2_22,0.013
,,6.25992,B2_11,0.029
,,6.26136,B2_34,0.035
,,6.27384,B2_11,0.021
,,6.27456,B2_31,0.028
,,6.28328,B2_42,0.017
,,6.30968,B2_34,0.025
,,6.3372,B3_31,0.016
,,6.33784,B5_11,0.026
,,6.42504,B3_23,0.017
,,6.4272,B4_22,0.013
,,6.42752,B4_43,0.034
,,6.42856,B4_32,0.015
,,6.44136,B6_43,0.022
,,6.4484,B2_11,0.014
,,6.45096,B2_31,0.016
,,6.45152,B2_32,0.016
,,6.48824,B4_24,0.015
,,6.51944,B2_44,0.046
,,6.5284,B5_24,0.018
,,6.64952,B2_43,0.024
,,6.68976,B5_11,0.019
,,6.69848,B2_42,0.014
,,6.72904,B5_11,0.013
,,6.73872,B2_42,0.016
,,6.76008,B5_11,0.023
,,6.76592,B4_24,0.013
,,6.76712,B4_42,0.018
,,6.76968,B4_42,0.027
,,6.79424,B3_31,0.069
,,6.79432,B3_44,0.032
,,6.79472,B3_22,0.013
,,6.7976,B3_32,0.018
,,6.79792,B3_31,0.023
,,6.82672,B4_44,0.014
,,6.84288,B5_11,0.024
,,6.86192,B2_42,0.053
,,6.87704,B2_42,0.022
,,6.88016,B1_24,0.028
,,6.8868,B5_23,0.024
,,6.89992,B5_11,0.02
,,6.91528,B5_23,0.024
,,6.99656,B5_11,0.02
,,7.0236,B5_11,0.021
,,7.02792,B5_24,0.017
,,7.03392,B1_43,0.023
,,7.088,B2_42,0.016
,,7.09864,B2_13,0.012
,,7.13552,B2_11,0.022
,,7.13776,B2_32,0.017
,,7.20656,B2_44,0.024
,,7.24784,B2_43,0.029
,,7.24808,B2_32,0.033
,,7.2488,B2_21,0.017
,,7.27848,B5_14,0.016
,,7.28328,B6_43,0.015
,,7.34008,B2_21,0.02
,,7.41488,B4_44,0.019
,,7.42392,B4_43,0.02
,,7.61936,B5_24,0.018
,,7.63152,B4_33,0.016
,,7.63224,B5_44,0.012
,,7.65336,B5_11,0.018
,,7.66584,B6_43,0.029
,,7.6672,B2_43,0.03
,,7.6676,B2_32,0.022
,,7.66792,B2_22,0.013
,,7.66808,B2_11,0.03
,,7.67048,B2_34,0.035
,,7.67744,B6_43,0.016
,,7.70104,B4_43,0.023
,,7.70704,B1_24,0.032
,,7.72728,B4_42,0.017
,,7.75688,B2_42,0.015
,,7.802,B2_42,0.021
,,7.82056,B6_32,0.016
,,7.83128,B2_31,0.017
,,7.83184,B2_32,0.017
,,7.852,B5_23,0.026
,,7.89632,B5_13,0.014
,,7.8964,B5_23,0.019
,,7.89696,B5_21,0.016
,,7.89776,B5_22,0.013
,,7.90904,B4_12,0.023
,,7.9204,B4_43,0.022
,,7.93944,B4_42,0.017
,,7.94408,B4_42,0.027
,,7.97496,B4_44,0.017
,,7.98032,B2_12,0.015
,,8.08008,B4_44,0.014
,,8.08568,B2_34,0.022
,,8.10352,B5_42,0.01
,,8.1652,B4_33,0.016
,,8.18896,B2_14,0.01
,,8.22344,B2_44,0.043
,,8.2732,B5_24,0.017
,,8.27936,B2_12,0.026
,,8.28456,B2_22,0.014
,,8.28512,B2_12,0.011
,,8.28624,B4_43,0.017
,,8.2964,B1_23,0.021
,,8.30464,B2_31,0.014
,,8.3368,B4_13,0.014
,,8.34536,B2_44,0.022
,,8.36464,B2_42,0.048
,,8.38352,B6_43,0.017
,,8.39376,B2_43,0.025
,,8.394,B2_32,0.032
,,8.45336,B2_31,0.012
,,8.51752,B2_42,0.014
,,8.528,B2_13,0.014
,,8.532,B1_24,0.036
,,8.5532,B2_11,0.017
,,8.55576,B2_31,0.019
,,8.55624,B2_32,0.017
,,8.6008,B5_44,0.016
,,8.66896,B6_31,0.017
,,8.67664,B5_11,0.025
,,8.72104,B2_21,0.017
,,8.72424,B4_43,0.03
,,8.73,B2_43,0.021
,,8.73096,B2_44,0.02
,,8.73112,B2_42,0.027
,,8.73424,B2_42,0.022
,,8.73448,B2_21,0.041
,,8.73536,B2_43,0.023
,,8.73744,B2_31,0.019
,,8.7392,B2_21,0.02
,,8.74,B2_12,0.014
